# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240902
# 종료일: 20240908
페이지 경로 및 화면 클래스,기기 카테고리,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/,desktop,208,153,120,1.7333333333333334,24.941666666666666,888,0,0
/global/latestnews,desktop,199,194,145,1.3724137931034484,20.655172413793103,762,0,0
/global/archives/18546,desktop,89,99,65,1.3692307692307693,41.47692307692308,403,0,0
/global/archives/18770,desktop,75,78,52,1.4423076923076923,51.75,306,0,0
/global/archives/category/press-room/press-release,desktop,66,54,44,1.5,32.31818181818182,259,0,0
/global/archives/category/press-room/financial-results,desktop,61,31,24,2.5416666666666665,29.375,230,0,0
/global/archives/18608,desktop,54,47,30,1.8,48.6,216,0,0
/global/archives/17426,desktop,52,46,32,1.625,76,228,0,0
/global/archives/category/corporates/sk-innovation,desktop,38,32,28,1.3571428571428572,14.892857142857142,145,0,0
/global/archives/18989,desktop,35,37,28,1.25,101.82142857142857,144,0,0
/global/archives/category/press-room,desktop,35,24,17,2.0588235294117645,31.11764705882353,129,0,0
/global/archives/category/corporates/sk-on,desktop,31,28,21,1.4761904761904763,47.38095238095238,117,0,0
/global/,mobile,29,23,21,1.380952380952381,7.523809523809524,116,0,0
/global/archives/16463,desktop,26,20,14,1.8571428571428572,15.285714285714286,111,0,0
/global/archives/6216,desktop,26,31,23,1.1304347826086956,23.08695652173913,128,0,0
/global/archives/18107,mobile,25,22,22,1.1363636363636365,101.81818181818181,114,0,0
/global/archives/category/corporates,desktop,25,20,16,1.5625,21.125,94,0,0
/global/archives/18659,desktop,24,25,20,1.2,17.95,97,0,0
/global/archives/14491,desktop,23,27,20,1.15,25.65,108,0,0
/global/archives/9910,desktop,23,31,18,1.2777777777777777,89.22222222222223,119,0,0
/global/archives/15374,desktop,22,22,18,1.2222222222222223,20.77777777777778,98,0,0
/global/archives/3820,desktop,19,16,15,1.2666666666666666,21,86,0,0
/global/archives/category/corporates/sk-energy,desktop,19,14,13,1.4615384615384615,18.23076923076923,72,0,0
/global/archives/15490,desktop,18,20,12,1.5,50.083333333333336,79,0,0
/global/archives/16532,desktop,18,14,12,1.5,82.41666666666667,77,0,0
/global/archives/18989,mobile,18,18,17,1.0588235294117647,59.470588235294116,81,0,0
/global/archives/17216,desktop,17,20,15,1.1333333333333333,31.666666666666668,75,0,0
/global/archives/17990,desktop,17,16,14,1.2142857142857142,32.5,73,0,0
/global/archives/18107,desktop,17,17,16,1.0625,102.8125,90,0,0
/global/archives/18283,desktop,17,17,17,1,39.1764705882353,73,0,0
/global/archives/18753,desktop,17,15,13,1.3076923076923077,26.846153846153847,67,0,0
/global/who-we-are,desktop,17,14,12,1.4166666666666667,15.583333333333334,77,0,0
/global/archives/11087,desktop,16,15,11,1.4545454545454546,67.36363636363636,71,0,0
/global/archives/6216,mobile,16,12,5,3.2,60.2,57,0,0
