# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241028
# 종료일: 20241103
페이지 경로 및 화면 클래스,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/global/archives/19268,1331,1114,877,1.5176738882554162,1.8905359179019385,4646,0,0
/global/,311,218,168,1.8511904761904763,26.136904761904763,2674,0,0
/global/archives/19421,199,191,158,1.259493670886076,37.04430379746835,805,0,0
/global/latestnews,159,171,120,1.325,21.991666666666667,578,0,0
/global/archives/19393,129,128,107,1.205607476635514,27.850467289719628,511,0,0
/pagead/aclk,110,75,75,1.4666666666666666,0,343,0,0
/global/archives/18546,95,105,71,1.3380281690140845,46.16901408450704,420,0,0
/global/archives/19078,76,76,43,1.7674418604651163,31.209302325581394,302,0,0
/global/archives/category/press-room/financial-results,58,41,26,2.230769230769231,26.615384615384617,237,0,0
/global/archives/category/press-room/press-release,53,47,34,1.5588235294117647,16.764705882352942,198,0,0
/global/archives/17426,43,41,28,1.5357142857142858,74.35714285714286,192,0,0
/global/archives/category/press-room,43,35,24,1.7916666666666667,47.375,164,0,0
/global/archives/19179,40,41,28,1.4285714285714286,20.678571428571427,159,0,0
/global/archives/18107,38,38,35,1.0857142857142856,157.62857142857143,181,0,0
/global/archives/18608,35,32,25,1.4,25.84,145,0,0
/global/archives/15490,32,36,27,1.1851851851851851,65.44444444444444,154,0,0
/global/archives/category/corporates/sk-innovation,32,29,24,1.3333333333333333,45.75,122,0,0
/global/archives/19045,30,31,23,1.3043478260869565,46.52173913043478,120,0,0
/global/archives/18445,29,25,21,1.380952380952381,20,130,0,0
/global/archives/category/corporates/sk-on,29,25,19,1.5263157894736843,75.94736842105263,105,0,0
/global/sustainability-report,28,27,27,1.037037037037037,5.074074074074074,135,0,0
/global/archives/13130,27,24,22,1.2272727272727273,11.045454545454545,127,0,0
/global/archives/category/corporates,25,19,16,1.5625,20.375,94,0,0
/global/archives/18770,23,24,22,1.0454545454545454,16.59090909090909,90,0,0
/global/archives/17595,22,21,14,1.5714285714285714,39.92857142857143,92,0,0
/global/archives/13780,21,20,12,1.75,34.5,85,0,0
/global/archives/16060,21,22,7,3,35,76,0,0
/global/archives/17623,21,18,14,1.5,20.714285714285715,89,0,0
/global/archives/19154,21,21,16,1.3125,53.125,89,0,0
/global/archives/15374,20,21,17,1.1764705882352942,34.05882352941177,91,0,0
/global/archives/17499,20,21,16,1.25,62.4375,88,0,0
/global/archives/19230,20,15,11,1.8181818181818181,24.181818181818183,78,0,0
/global/archives/17356,19,18,14,1.3571428571428572,24.714285714285715,73,0,0
/global/archives/category/corporates/sk-enmove,17,10,8,2.125,41.375,66,0,0
/global/archives/15664,16,18,14,1.1428571428571428,31.357142857142858,79,0,0
/global/archives/19202,16,14,11,1.4545454545454546,41.63636363636363,61,0,0
/global/archives/18283,15,11,9,1.6666666666666667,40.111111111111114,56,0,0
/global/archives/9910,15,14,13,1.1538461538461537,45.38461538461539,72,0,0
/global/archives/12306,14,9,8,1.75,29.25,53,0,0
/global/archives/17169,14,15,12,1.1666666666666667,34.166666666666664,64,0,0
/global/archives/19149,14,16,13,1.0769230769230769,27.846153846153847,55,0,0
/global/archives/category/corporates/sk-energy,14,14,12,1.1666666666666667,31.833333333333332,52,0,0
/global/archives/11004,13,10,8,1.625,68.625,54,0,0
/global/archives/12022,13,13,13,1,4.384615384615385,59,0,0
/global/archives/13329,13,12,9,1.4444444444444444,16.444444444444443,51,0,0
/global/archives/15592,13,14,13,1,3.3846153846153846,64,0,0
/global/archives/16463,13,14,12,1.0833333333333333,17.916666666666668,60,0,0
/global/archives/16834,13,11,7,1.8571428571428572,30,52,0,0
/global/archives/17216,13,15,12,1.0833333333333333,22.666666666666668,60,0,0
/global/archives/6216,13,14,12,1.0833333333333333,69.08333333333333,63,0,0
