# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240101
# 종료일: 20240107
페이지 경로 및 화면 클래스,국가,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,전환,총 수익
/global/,South Korea,116,99,59,1.9661016949152543,10.745762711864407,456,0,0
/global/archives/16939,South Korea,90,83,73,1.2328767123287672,25.36986301369863,391,0,0
/global/archives/16881,India,69,63,15,4.6,19.066666666666666,197,0,0
/global/archives/16480,India,37,37,13,2.8461538461538463,4.3076923076923075,116,0,0
/global/archives/16970,South Korea,37,41,30,1.2333333333333334,26.333333333333332,154,0,0
/global/archives/category/press-room/press-release,France,37,37,37,1,0.7567567567567568,148,0,0
/global/archives/16719,India,30,30,9,3.3333333333333335,0.6666666666666666,91,0,0
/global/,United Kingdom,27,27,27,1,4.925925925925926,112,0,0
/global/archives/16131,India,26,22,5,5.2,2,73,0,0
/global/archives/16154,India,26,25,7,3.7142857142857144,1.5714285714285714,77,0,0
/global/archives/16376,India,24,24,9,2.6666666666666665,9.11111111111111,73,0,0
/global/latestnews,South Korea,24,16,7,3.4285714285714284,11.142857142857142,86,0,0
/global/archives/15865,India,23,19,1,23,17,68,0,0
/global/,United States,22,18,16,1.375,15.625,93,0,0
/global/archives/16952,United States,22,25,21,1.0476190476190477,26.523809523809526,105,0,0
/global/archives/16970,India,21,19,13,1.6153846153846154,20.53846153846154,87,0,0
/global/archives/16939,Germany,19,22,14,1.3571428571428572,97.85714285714286,94,0,0
/global/archives/3269,South Korea,19,19,12,1.5833333333333333,13,72,0,0
/global/archives/16925,South Korea,18,16,12,1.5,13.666666666666666,68,0,0
/global/archives/16939,United States,18,18,12,1.5,67.25,88,0,0
/global/latestnews,Germany,18,17,3,6,11.333333333333334,53,0,0
/global/archives/16970,United States,17,17,17,1,9.705882352941176,70,0,0
/global/archives/category/corporate/sk-on,South Korea,17,12,9,1.8888888888888888,33.44444444444444,71,0,0
/global/archives/16613,Jordan,15,9,6,2.5,0,45,0,0
/global/archives/16834,South Korea,15,15,10,1.5,183.3,55,0,0
/global/,China,14,9,8,1.75,18.125,54,0,0
/global/archives/16613,Lebanon,14,13,1,14,0,39,0,0
/global/,India,13,11,7,1.8571428571428572,23.142857142857142,53,0,0
/global/archives/14766,India,13,13,5,2.6,5.2,40,0,0
/global/archives/15490,Canada,13,13,8,1.625,71.125,60,0,0
/global/archives/16881,South Korea,13,8,5,2.6,15.4,47,0,0
/global/archives/16980,South Korea,13,8,4,3.25,8.5,41,0,0
/global/,Japan,12,12,9,1.3333333333333333,18,51,0,0
/global/archives/15490,United States,12,12,8,1.5,64.875,51,0,0
/global/archives/16613,Egypt,12,12,8,1.5,0,45,0,0
/global/archives/16952,South Korea,11,11,8,1.375,15.125,47,0,0
/global/archives/16480,South Korea,10,6,5,2,11.8,33,0,0
/global/archives/16834,Singapore,10,13,9,1.1111111111111112,31.666666666666668,47,0,0
/global/archives/category/press-room/financial-results,Singapore,10,5,4,2.5,20.75,33,0,0
/global/archives/category/press-room/press-release,India,10,10,6,1.6666666666666667,10.666666666666666,37,0,0
/global/archives/10774,South Korea,9,12,8,1.125,17.5,43,0,0
/global/archives/14493,India,9,6,1,9,0,26,0,0
/global/archives/15664,India,9,9,3,3,4.333333333333333,25,0,0
/global/archives/16154,South Korea,9,13,6,1.5,141.5,46,0,0
/global/archives/16613,Ghana,9,8,3,3,22,27,0,0
/global/archives/9236,India,9,11,4,2.25,22,37,0,0
/global/archives/9910,Malaysia,9,9,7,1.2857142857142858,21.142857142857142,37,0,0
/global/archives/14634,India,8,7,2,4,0,18,0,0
/global/archives/15664,China,8,6,2,4,38,28,0,0
/global/archives/15664,United States,8,8,7,1.1428571428571428,35.714285714285715,32,0,0
/global/archives/15937,India,8,8,2,4,0.5,24,0,0
/global/archives/16286,United States,8,7,7,1.1428571428571428,5.428571428571429,29,0,0
/global/archives/16939,India,8,10,8,1,17.25,35,0,0
/global/archives/16952,India,8,8,5,1.6,40.2,32,0,0
/global/archives/category/corporate/sk-ie-technology,South Korea,8,4,3,2.6666666666666665,77,34,0,0
/global/archives/category/press-room/press-release,South Korea,8,8,6,1.3333333333333333,20.166666666666668,27,0,0
/global/archives/category/press-room/press-release,United States,8,7,6,1.3333333333333333,17,30,0,0
/global/,France,7,9,4,1.75,15.75,27,0,0
/global/archives/14541,Vietnam,7,6,4,1.75,0,25,0,0
/global/archives/15490,India,7,7,2,3.5,26.5,23,0,0
/global/archives/16286,Singapore,7,2,2,3.5,124,24,0,0
/global/archives/16613,South Korea,7,2,2,3.5,39.5,23,0,0
/global/archives/16719,South Korea,7,6,4,1.75,21,20,0,0
/global/archives/16834,United States,7,6,6,1.1666666666666667,46.5,28,0,0
/global/archives/9236,South Korea,7,8,6,1.1666666666666667,16.666666666666668,34,0,0
/global/archives/category/corporate/sk-innovation,South Korea,7,7,4,1.75,10.75,23,0,0
/global/archives/category/press-room,United States,7,8,4,1.75,57.25,30,0,0
/global/archives/category/press-room/financial-results,China,7,4,3,2.3333333333333335,17.666666666666668,22,0,0
/global/latestnews,United States,7,7,2,3.5,37.5,27,0,0
/global/archives/12667,United States,6,5,4,1.5,48.25,24,0,0
/global/archives/15204,India,6,4,1,6,0,14,0,0
/global/archives/15937,Malaysia,6,6,1,6,79,20,0,0
/global/archives/16463,United States,6,7,6,1,26.5,26,0,0
/global/archives/16613,France,6,6,4,1.5,12,23,0,0
/global/archives/16613,Tanzania,6,4,2,3,0,16,0,0
/global/archives/16613,Venezuela,6,4,1,6,0,16,0,0
/global/archives/16787,Vietnam,6,6,6,1,25.5,25,0,0
/global/archives/16904,South Korea,6,5,3,2,7,22,0,0
/global/archives/16939,China,6,6,5,1.2,20.2,26,0,0
/global/archives/16970,Singapore,6,6,6,1,5.333333333333333,22,0,0
/global/archives/category/ces/ces-2024,United States,6,3,3,2,15.666666666666666,25,0,0
/global/archives/category/corporate/sk-energy,South Korea,6,2,2,3,19,22,0,0
/global/archives/category/corporate/sk-ie-technology,United Kingdom,6,2,1,6,81,24,0,0
/global/archives/category/corporate/sk-on,China,6,3,2,3,27.5,21,0,0
/global/archives/category/corporate/sk-on,United States,6,4,4,1.5,49.25,24,0,0
/global/archives/category/press-room/financial-results,United States,6,4,4,1.5,24.5,28,0,0
/global/archives/12274/skee,South Korea,5,4,4,1.25,7,28,0,0
/global/archives/13804,Taiwan,5,6,2,2.5,49.5,23,0,0
/global/archives/14226,South Korea,5,7,4,1.25,18.75,22,0,0
/global/archives/15664,South Korea,5,6,5,1,14,24,0,0
/global/archives/15689,United States,5,5,3,1.6666666666666667,11,20,0,0
/global/archives/16613,Belgium,5,5,5,1,0,20,0,0
/global/archives/16613,Pakistan,5,4,1,5,0,15,0,0
/global/archives/16881,United States,5,6,4,1.25,46.25,21,0,0
/global/archives/16939,Japan,5,5,5,1,3.6,20,0,0
/global/archives/16970,France,5,6,5,1,16.2,22,0,0
/global/archives/16970,Hungary,5,4,4,1.25,65.5,22,0,0
/global/archives/3820,South Korea,5,6,5,1,17.6,19,0,0
/global/archives/5892,Ukraine,5,5,4,1.25,8.25,23,0,0
/global/archives/6216,United States,5,6,5,1,219.4,23,0,0
/global/archives/9910,Mexico,5,5,3,1.6666666666666667,43.333333333333336,19,0,0
/global/archives/category/ces,South Korea,5,2,2,2.5,15,17,0,0
/global/archives/category/corporate,South Korea,5,4,4,1.25,3,17,0,0
/global/archives/category/corporate/sk-ie-technology,Japan,5,2,2,2.5,76,21,0,0
/global/archives/category/corporate/sk-innovation,United States,5,4,4,1.25,21.5,17,0,0
/global/archives/category/press-room/press-release,Japan,5,4,3,1.6666666666666667,100.66666666666667,20,0,0
/global/archives/tag/canada,Canada,5,1,1,5,62,18,0,0
/global/,Colombia,4,2,1,4,31,12,0,0
/global/,Germany,4,3,3,1.3333333333333333,5.333333333333333,15,0,0
/global/,Singapore,4,6,4,1,4.75,18,0,0
/global/archives/11180,South Korea,4,4,2,2,14.5,15,0,0
/global/archives/11889,Indonesia,4,2,1,4,133,15,0,0
/global/archives/12106,Japan,4,5,2,2,11.5,14,0,0
/global/archives/13521,United States,4,4,3,1.3333333333333333,223.33333333333334,14,0,0
/global/archives/13780,South Korea,4,4,4,1,18.75,17,0,0
/global/archives/1399,Vietnam,4,5,3,1.3333333333333333,3,17,0,0
/global/archives/14766,United States,4,4,4,1,6.5,19,0,0
/global/archives/15490,South Korea,4,4,4,1,26,18,0,0
/global/archives/15638,Japan,4,1,1,4,56,15,0,0
/global/archives/16376,South Korea,4,5,3,1.3333333333333333,0,16,0,0
/global/archives/16376,United States,4,3,3,1.3333333333333333,27.666666666666668,19,0,0
/global/archives/16480,Mexico,4,1,1,4,240,16,0,0
/global/archives/16493,Singapore,4,6,4,1,22.25,21,0,0
/global/archives/16493,United States,4,4,4,1,1,14,0,0
/global/archives/16613,Czechia,4,3,2,2,1.5,12,0,0
/global/archives/16939,United Kingdom,4,6,4,1,29.25,22,0,0
/global/archives/16952,Japan,4,4,4,1,4,18,0,0
/global/archives/489,Singapore,4,3,2,2,2,14,0,0
/global/archives/5892,South Korea,4,4,3,1.3333333333333333,2.6666666666666665,18,0,0
/global/archives/9548,South Korea,4,2,2,2,27.5,14,0,0
/global/archives/category/corporate/sk-on,Japan,4,3,2,2,7,14,0,0
/global/archives/category/corporate/sk-on,Mexico,4,1,1,4,41,14,0,0
/global/archives/category/press-room/financial-results,Hong Kong,4,1,1,4,32,16,0,0
/global/archives/category/press-room/press-release,Germany,4,2,2,2,40.5,16,0,0
/global/archives/category/press-room/press-release,Hong Kong,4,4,3,1.3333333333333333,159.33333333333334,18,0,0
/global/archives/tag/europe,Germany,4,2,2,2,15,16,0,0
/global/archives/tag/skba,United States,4,2,2,2,13.5,18,0,0
/global/,Jamaica,3,3,2,1.5,34.5,12,0,0
/global/,Vietnam,3,2,1,3,60,12,0,0
/global/archives/,Taiwan,3,1,1,3,8,12,0,0
/global/archives/10133,China,3,3,3,1,0,10,0,0
/global/archives/10767,South Korea,3,4,3,1,55.333333333333336,18,0,0
/global/archives/11400,Japan,3,2,1,3,81,13,0,0
/global/archives/12022,South Korea,3,3,3,1,11.333333333333334,15,0,0
/global/archives/12220,Germany,3,1,1,3,155,12,0,0
/global/archives/12306,South Korea,3,3,3,1,92.33333333333333,13,0,0
/global/archives/12483,South Korea,3,4,3,1,2.3333333333333335,15,0,0
/global/archives/12667,South Korea,3,2,2,1.5,26,13,0,0
/global/archives/12692,South Korea,3,2,2,1.5,7.5,11,0,0
/global/archives/12950,South Korea,3,3,2,1.5,2.5,8,0,0
/global/archives/13036,United States,3,3,3,1,12.333333333333334,13,0,0
/global/archives/13211,Indonesia,3,2,1,3,85,11,0,0
/global/archives/13595,South Korea,3,4,3,1,25.666666666666668,12,0,0
/global/archives/13595,Thailand,3,1,1,3,217,12,0,0
/global/archives/13595,United States,3,4,3,1,16.333333333333332,15,0,0
/global/archives/14491,Singapore,3,3,3,1,12.666666666666666,14,0,0
/global/archives/14491,United States,3,4,3,1,144.66666666666666,15,0,0
/global/archives/14740,United States,3,3,3,1,0.3333333333333333,11,0,0
/global/archives/14766,Canada,3,1,1,3,80,10,0,0
/global/archives/14770,Poland,3,2,2,1.5,21,13,0,0
/global/archives/15259,United States,3,3,3,1,5,12,0,0
/global/archives/15374,Malaysia,3,3,1,3,28,11,0,0
/global/archives/15865,Japan,3,2,1,3,31,10,0,0
/global/archives/15985,South Korea,3,4,3,1,3,13,0,0
/global/archives/16286,Hong Kong,3,2,2,1.5,28,13,0,0
/global/archives/16376,Sweden,3,3,2,1.5,33.5,12,0,0
/global/archives/16448,South Korea,3,3,3,1,56,14,0,0
/global/archives/16463,India,3,3,3,1,16.333333333333332,12,0,0
/global/archives/16463,South Korea,3,4,3,1,25.333333333333332,13,0,0
/global/archives/16532,Malaysia,3,3,0,0,0,9,0,0
/global/archives/16532,Vietnam,3,3,2,1.5,21,12,0,0
/global/archives/16613,Nigeria,3,3,2,1.5,0,10,0,0
/global/archives/16613,Senegal,3,3,0,0,0,9,0,0
/global/archives/16613,Sweden,3,3,2,1.5,0,11,0,0
/global/archives/16787,Hong Kong,3,3,2,1.5,52.5,9,0,0
/global/archives/16787,India,3,3,2,1.5,66.5,15,0,0
/global/archives/16834,China,3,3,3,1,4.333333333333333,11,0,0
/global/archives/16834,Hong Kong,3,3,2,1.5,69,9,0,0
/global/archives/16881,Taiwan,3,3,1,3,61,12,0,0
/global/archives/16939,Hong Kong,3,3,2,1.5,6.5,9,0,0
/global/archives/16939,Singapore,3,3,3,1,24.333333333333332,12,0,0
/global/archives/16970,China,3,4,3,1,25,12,0,0
/global/archives/16970,Japan,3,3,3,1,32,12,0,0
/global/archives/4450,Singapore,3,3,1,3,0,10,0,0
/global/archives/489,South Korea,3,1,1,3,28,12,0,0
/global/archives/6216,South Korea,3,3,3,1,7,14,0,0
/global/archives/7476,Singapore,3,3,2,1.5,0,11,0,0
/global/archives/9910,United States,3,3,3,1,0.3333333333333333,12,0,0
/global/archives/category/corporate/sk-geo-centric,South Korea,3,2,2,1.5,9.5,9,0,0
/global/archives/category/corporate/sk-innovation,Sweden,3,2,2,1.5,9,12,0,0
/global/archives/category/corporate/sk-on,Austria,3,3,3,1,39,14,0,0
/global/archives/category/corporate/sk-on,Canada,3,4,2,1.5,32.5,13,0,0
/global/archives/category/corporate/sk-on,Germany,3,2,2,1.5,20,12,0,0
/global/archives/category/people/ceo-leaders,United States,3,3,3,1,19.333333333333332,12,0,0
/global/archives/category/press-room,China,3,3,2,1.5,4,9,0,0
/global/archives/category/press-room,Singapore,3,4,2,1.5,0,9,0,0
/global/archives/category/press-room/press-release,Canada,3,1,1,3,45,14,0,0
