# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240101
# 종료일: 20240107
페이지 경로 및 화면 클래스,기기 카테고리,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,전환,총 수익
/global/,desktop,203,183,136,1.4926470588235294,13.647058823529411,841,0,0
/global/archives/16613,mobile,114,100,49,2.326530612244898,3.142857142857143,361,0,0
/global/archives/16939,desktop,113,117,87,1.2988505747126438,53.252873563218394,525,0,0
/global/archives/16881,mobile,69,63,15,4.6,20.466666666666665,199,0,0
/global/archives/16970,desktop,68,73,56,1.2142857142857142,22.75,286,0,0
/global/latestnews,desktop,61,50,22,2.772727272727273,12.227272727272727,217,0,0
/global/archives/16939,mobile,60,54,52,1.1538461538461537,6.038461538461538,247,0,0
/global/archives/category/press-room/press-release,desktop,59,52,40,1.475,33.65,234,0,0
/global/archives/category/corporate/sk-on,desktop,43,29,22,1.9545454545454546,35.31818181818182,168,0,0
/global/,mobile,42,32,18,2.3333333333333335,7.722222222222222,145,0,0
/global/archives/16834,desktop,42,46,35,1.2,71.05714285714286,172,0,0
/global/archives/16952,desktop,42,45,35,1.2,18.542857142857144,187,0,0
/global/archives/16970,mobile,41,39,36,1.1388888888888888,17.38888888888889,164,0,0
/global/archives/16480,mobile,35,35,10,3.5,8.5,113,0,0
/global/archives/category/press-room/financial-results,desktop,31,19,16,1.9375,19.6875,122,0,0
/global/archives/16719,mobile,30,30,9,3.3333333333333335,0.6666666666666666,91,0,0
/global/archives/category/press-room/press-release,mobile,28,28,28,1,0.7857142857142857,112,0,0
/global/archives/15490,desktop,27,27,21,1.2857142857142858,66.57142857142857,123,0,0
/global/archives/16131,mobile,27,23,4,6.75,2.5,76,0,0
/global/archives/16881,desktop,27,23,16,1.6875,24.3125,103,0,0
/global/archives/9236,desktop,27,35,19,1.4210526315789473,49.78947368421053,128,0,0
/global/archives/16154,mobile,26,25,7,3.7142857142857144,1.4285714285714286,78,0,0
/global/archives/16376,mobile,25,24,9,2.7777777777777777,9.777777777777779,77,0,0
/global/archives/15865,mobile,24,20,1,24,17,70,0,0
/global/archives/16286,desktop,24,17,16,1.5,24.25,86,0,0
/global/archives/16925,desktop,23,22,18,1.2777777777777777,18.5,93,0,0
/global/archives/3269,mobile,23,23,15,1.5333333333333334,15.733333333333333,90,0,0
/global/archives/category/corporate/sk-ie-technology,desktop,23,12,10,2.3,57.2,95,0,0
/global/archives/16480,desktop,22,15,15,1.4666666666666666,26.066666666666666,79,0,0
/global/archives/15664,desktop,21,21,15,1.4,24.933333333333334,83,0,0
/global/archives/category/press-room,desktop,21,20,14,1.5,22.642857142857142,80,0,0
/global/archives/16613,desktop,17,13,7,2.4285714285714284,11.285714285714286,59,0,0
/global/archives/category/corporate,desktop,17,17,16,1.0625,12.9375,64,0,0
/global/archives/14766,mobile,16,14,6,2.6666666666666665,14.333333333333334,49,0,0
/global/archives/16493,desktop,14,16,14,1,25.5,60,0,0
/global/archives/category/corporate/sk-innovation,desktop,14,11,11,1.2727272727272727,13.909090909090908,52,0,0
/global/archives/15490,mobile,13,13,5,2.6,46.2,47,0,0
/global/archives/15937,mobile,13,13,1,13,1,40,0,0
/global/archives/16154,desktop,12,18,9,1.3333333333333333,96,62,0,0
/global/archives/16787,desktop,12,11,9,1.3333333333333333,51.888888888888886,48,0,0
