# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240923
# 종료일: 20240929
페이지 경로 및 화면 클래스,국가,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19078,United Arab Emirates,373,257,178,2.095505617977528,2.134831460674157,1114,0,0
/global/archives/19078,Germany,145,123,116,1.25,1.1206896551724137,535,0,0
/global/latestnews,China,86,100,100,0.86,20.06,351,0,0
/global/,South Korea,79,58,31,2.5483870967741935,19.70967741935484,334,0,0
/global/archives/19078,Iran,47,44,37,1.2702702702702702,1.6216216216216217,168,0,0
/global/archives/19128,South Korea,30,32,17,1.7647058823529411,11.470588235294118,120,0,0
/global/archives/19045,Vietnam,28,24,8,3.5,1.5,91,0,0
/global/,United Kingdom,26,27,26,1,0.7307692307692307,109,0,0
/global/,United States,25,20,17,1.4705882352941178,31.235294117647058,112,0,0
/global/archives/19078,South Korea,22,23,17,1.2941176470588236,77.70588235294117,90,0,0
/global/archives/category/press-room/financial-results,India,22,9,8,2.75,39.625,92,0,0
/global/latestnews,Germany,21,20,2,10.5,3.5,55,0,0
/global/archives/19108,South Korea,18,16,11,1.6363636363636365,18.272727272727273,68,0,0
/global/archives/category/press-room/financial-results,Singapore,17,6,6,2.8333333333333335,31.166666666666668,71,0,0
/global/archives/19045,Malaysia,16,15,8,2,43.5,59,0,0
/global/archives/category/corporates/sk-energy,South Korea,16,9,4,4,54,63,0,0
/global/archives/9910,Malaysia,15,16,14,1.0714285714285714,28.071428571428573,68,0,0
/global/archives/18107,United States,14,14,12,1.1666666666666667,78.25,62,0,0
/global/archives/19078,Thailand,14,18,11,1.2727272727272727,175.54545454545453,75,0,0
/global/archives/19078,United Kingdom,14,17,14,1,6.857142857142857,54,0,0
/global/archives/8067,Japan,14,9,3,4.666666666666667,186.33333333333334,51,0,0
/global/archives/category/press-room/financial-results,United States,14,6,6,2.3333333333333335,37.833333333333336,57,0,0
/global/,Japan,13,7,7,1.8571428571428572,58.285714285714285,58,0,0
/global/archives/17460,Pakistan,12,13,12,1,16.166666666666668,55,0,0
/global/archives/19078,United States,12,13,12,1,18.333333333333332,49,0,0
/global/latestnews,United States,12,12,6,2,7.833333333333333,42,0,0
/global/archives/17426,India,11,9,9,1.2222222222222223,21.333333333333332,47,0,0
/global/archives/18546,India,11,10,7,1.5714285714285714,80.85714285714286,48,0,0
/global/archives/3820,Germany,11,9,7,1.5714285714285714,58.857142857142854,48,0,0
/global/archives/6216,United States,11,12,10,1.1,47.3,56,0,0
/global/latestnews,South Korea,11,14,5,2.2,29.8,42,0,0
