# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240923
# 종료일: 20240929
페이지 경로 및 화면 클래스,세션 소스,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19078,google,596,482,368,1.6195652173913044,7.638586956521739,2011,0,0
/global/latestnews,(direct),104,103,96,1.0833333333333333,18.760416666666668,399,0,0
/global/archives/19078,(direct),83,67,61,1.360655737704918,17.75409836065574,294,0,0
/global/archives/category/press-room/financial-results,google,65,28,24,2.7083333333333335,33.208333333333336,268,0,0
/global/archives/19045,google,64,59,29,2.206896551724138,23.275862068965516,225,0,0
/global/,(direct),61,53,49,1.2448979591836735,7.551020408163265,246,0,0
/global/,google,60,45,38,1.5789473684210527,15.81578947368421,244,0,0
/global/archives/18107,google,43,40,36,1.1944444444444444,74.52777777777777,195,0,0
/global/archives/18546,google,41,44,34,1.2058823529411764,58.588235294117645,186,0,0
/global/,linkedin.com,38,30,7,5.428571428571429,43.285714285714285,144,0,0
/global/archives/17426,google,36,29,28,1.2857142857142858,27,164,0,0
/global/latestnews,google,31,33,11,2.8181818181818183,17.272727272727273,98,0,0
/global/archives/9910,google,27,32,22,1.2272727272727273,50.95454545454545,131,0,0
/global/,skinnovation.com,26,22,14,1.8571428571428572,34,126,0,0
/global/archives/category/corporates/sk-on,google,25,21,21,1.1904761904761905,20.952380952380953,99,0,0
/global/archives/3820,google,20,20,13,1.5384615384615385,70.3076923076923,89,0,0
/global/archives/6216,google,20,23,17,1.1764705882352942,37.05882352941177,95,0,0
/global/archives/category/press-room/press-release,(direct),20,18,9,2.2222222222222223,7,74,0,0
/global/archives/18608,google,19,20,17,1.1176470588235294,19.823529411764707,90,0,0
/global/archives/15374,google,18,22,12,1.5,90.75,86,0,0
/global/archives/16060,google,18,17,13,1.3846153846153846,16.53846153846154,75,0,0
/global/archives/category/corporates/sk-energy,(direct),18,10,6,3,40.833333333333336,66,0,0
/global/archives/17216,google,17,16,16,1.0625,46.3125,74,0,0
/global/archives/17623,google,16,17,14,1.1428571428571428,58.92857142857143,79,0,0
/global/archives/12022,google,15,16,14,1.0714285714285714,9,73,0,0
/global/archives/16463,google,15,17,14,1.0714285714285714,24.142857142857142,74,0,0
/global/archives/4612,google,15,17,11,1.3636363636363635,24.363636363636363,66,0,0
/global/archives/18445,google,14,16,13,1.0769230769230769,12.076923076923077,60,0,0
/global/archives/category/corporates/sk-enterm,google,14,6,6,2.3333333333333335,12,59,0,0
/global/archives/12306,google,13,13,11,1.1818181818181819,40.27272727272727,52,0,0
/global/archives/17460,google,13,14,13,1,14.692307692307692,62,0,0
/global/archives/17595,google,13,11,8,1.625,65.375,59,0,0
/global/archives/19128,(direct),13,13,13,1,11.076923076923077,52,0,0
/global/archives/822,google,13,13,13,1,65.84615384615384,62,0,0
/global/archives/category/corporates/sk-innovation,google,13,12,10,1.3,15.2,49,0,0
/global/archives/10913,google,12,12,9,1.3333333333333333,82.11111111111111,49,0,0
/global/archives/14264,google,12,8,6,2,65.66666666666667,49,0,0
/global/archives/12950,google,11,10,9,1.2222222222222223,30.88888888888889,49,0,0
/global/archives/13521,google,11,13,10,1.1,12.4,52,0,0
/global/archives/15687,google,11,11,10,1.1,16.8,52,0,0
/global/archives/17499,google,11,10,9,1.2222222222222223,107.66666666666667,53,0,0
/global/archives/18659,google,11,12,8,1.375,13.125,42,0,0
/global/archives/18770,google,11,15,11,1,45,50,0,0
/global/archives/19108,(direct),11,11,10,1.1,26.9,45,0,0
/global/archives/19128,ozmailer.com,11,7,4,2.75,5.5,36,0,0
/global/archives/category/press-room/press-release,google,11,11,9,1.2222222222222223,13.666666666666666,45,0,0
/global/archives/tag/vwbe,google,11,9,9,1.2222222222222223,29.666666666666668,52,0,0
/global/archives/13780,google,10,10,7,1.4285714285714286,62.714285714285715,47,0,0
/global/archives/16834,google,10,8,6,1.6666666666666667,46.833333333333336,43,0,0
/global/archives/category/corporates,google,10,8,8,1.25,10.375,39,0,0
/global/archives/category/corporates/sk-energy,google,10,7,7,1.4285714285714286,17.285714285714285,36,0,0
/global/archives/category/people,google,10,8,8,1.25,16.5,37,0,0
/global/archives/category/press-room,google,10,8,8,1.25,21.5,39,0,0
/global/archives/10774,google,9,9,8,1.125,22.125,42,0,0
/global/archives/11807,google,9,8,6,1.5,41.833333333333336,42,0,0
/global/archives/15490,google,9,10,9,1,35.333333333333336,46,0,0
/global/archives/19108,ozmailer.com,9,7,5,1.8,6.2,28,0,0
/global/archives/category/people/inno-people,google,9,6,6,1.5,17,33,0,0
/global/archives/category/press-room,(direct),9,8,3,3,4.666666666666667,31,0,0
/global/,bing,8,6,5,1.6,19,34,0,0
/global/archives/10133,google,8,7,7,1.1428571428571428,14.142857142857142,38,0,0
/global/archives/10774,(direct),8,9,9,0.8888888888888888,9.666666666666666,37,0,0
/global/archives/15985,google,8,6,4,2,18.5,38,0,0
/global/archives/16448,google,8,8,7,1.1428571428571428,12.714285714285714,37,0,0
/global/archives/17737,google,8,11,8,1,57.25,45,0,0
/global/archives/18361,google,8,8,8,1,11.125,33,0,0
/global/archives/19078,linkedin.com,8,6,5,1.6,192.4,32,0,0
/global/archives/9740,google,8,6,6,1.3333333333333333,63.5,36,0,0
/pagead/aclk,google,8,6,6,1.3333333333333333,0,27,0,0
/global/,eng.skietechnology.com,7,3,3,2.3333333333333335,90.33333333333333,31,0,0
/global/archives/11087,google,7,6,6,1.1666666666666667,26.5,32,0,0
/global/archives/12106,google,7,6,6,1.1666666666666667,23,26,0,0
/global/archives/12692,google,7,6,2,3.5,105.5,29,0,0
/global/archives/14491,google,7,11,7,1,14.857142857142858,36,0,0
/global/archives/15664,google,7,7,7,1,27,32,0,0
/global/archives/17356,google,7,6,6,1.1666666666666667,26,29,0,0
/global/archives/17476,google,7,7,7,1,38.142857142857146,35,0,0
/global/archives/18301,google,7,7,7,1,30,34,0,0
/global/archives/18608,(direct),7,7,7,1,9.285714285714286,28,0,0
/global/archives/19045,(direct),7,7,7,1,25.142857142857142,26,0,0
/global/archives/19078,bing,7,7,5,1.4,123.8,27,0,0
/global/archives/19095,(direct),7,8,7,1,5.428571428571429,28,0,0
/global/archives/6807,google,7,5,5,1.4,36.6,33,0,0
/global/archives/8067,skinnovation.com,7,2,1,7,306,24,0,0
/global/archives/9548,google,7,5,5,1.4,20.8,32,0,0
/global/archives/9668,google,7,7,7,1,34.57142857142857,33,0,0
/global/archives/category/corporates/sk-innovation,(direct),7,5,4,1.75,14,23,0,0
/global/archives/tag/solid-power,google,7,5,5,1.4,19.4,34,0,0
