# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240108
# 종료일: 20240114
페이지 경로 및 화면 클래스,세션 소스,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,전환,총 수익
/global/,google,160,110,58,2.7586206896551726,23.96551724137931,634,0,0
/global/archives/17047,google,149,150,123,1.2113821138211383,32.84552845528455,667,0,0
/global/,(direct),122,94,67,1.8208955223880596,16.238805970149254,480,0,0
/global/archives/16881,google,95,87,53,1.7924528301886793,21.830188679245282,345,0,0
/global/archives/17022,google,95,86,69,1.3768115942028984,39,424,0,0
/global/archives/16613,google,90,83,31,2.903225806451613,4.870967741935484,287,0,0
/global/archives/16939,(direct),77,76,57,1.3508771929824561,44.43859649122807,351,0,0
/global/archives/17010,google,64,63,53,1.2075471698113207,36.509433962264154,259,0,0
/global/archives/17047,(direct),63,62,52,1.2115384615384615,32.86538461538461,255,0,0
/global/archives/category/press-room/press-release,(direct),56,56,49,1.1428571428571428,3.7142857142857144,221,0,0
/global/archives/14766,google,49,34,14,3.5,9.642857142857142,142,0,0
/global/archives/16952,google,49,47,40,1.225,32.95,208,0,0
/global/archives/17010,(direct),43,35,29,1.4827586206896552,24.137931034482758,156,0,0
/global/latestnews,(direct),43,42,8,5.375,29.875,141,0,0
/global/,linkedin.com,40,33,7,5.714285714285714,15,136,0,0
/global/latestnews,google,40,26,19,2.1052631578947367,25.68421052631579,149,0,0
/global/archives/category/press-room/press-release,google,39,34,24,1.625,91.20833333333333,158,0,0
/global/archives/category/press-room/financial-results,google,38,23,17,2.235294117647059,24.823529411764707,156,0,0
/global/archives/17010,linkedin.com,37,36,29,1.2758620689655173,41.206896551724135,153,0,0
/global/archives/tag/sk-wonderland,google,36,33,29,1.2413793103448276,12.241379310344827,175,0,0
/global/archives/16480,google,35,33,9,3.888888888888889,18,107,0,0
/global/archives/category/corporate/sk-on,google,35,27,23,1.5217391304347827,47.43478260869565,135,0,0
/global/,skinnovation.com,33,21,14,2.357142857142857,57.07142857142857,123,0,0
/global/archives/16376,google,32,30,10,3.2,49.1,99,0,0
/global/archives/category/corporate/sk-on,(direct),31,16,10,3.1,19.2,106,0,0
/global/archives/15664,google,30,32,25,1.2,43.4,137,0,0
/global/archives/15490,google,28,31,26,1.0769230769230769,57,132,0,0
/global/archives/16286,google,28,26,15,1.8666666666666667,129.86666666666667,122,0,0
/global/archives/category/press-room,google,28,18,13,2.1538461538461537,24.23076923076923,109,0,0
/global/archives/17022,(direct),27,30,25,1.08,35.52,115,0,0
/global/archives/16939,google,25,27,20,1.25,46.2,112,0,0
/global/archives/16154,google,24,24,11,2.1818181818181817,16.363636363636363,83,0,0
/global/archives/17047,linkedin.com,24,26,22,1.0909090909090908,23.136363636363637,105,0,0
/global/archives/10774,google,23,24,19,1.2105263157894737,42.73684210526316,99,0,0
/global/archives/16834,google,21,20,18,1.1666666666666667,44.22222222222222,86,0,0
/global/archives/17134,google,21,15,12,1.75,190.83333333333334,87,0,0
/global/archives/category/corporate/sk-innovation,google,21,18,18,1.1666666666666667,17.61111111111111,77,0,0
/global/,ozmailer.com,20,17,9,2.2222222222222223,8.666666666666666,70,0,0
/global/archives/6216,google,20,23,17,1.1764705882352942,94.05882352941177,105,0,0
/global/archives/12306,google,19,15,14,1.3571428571428572,80.28571428571429,77,0,0
/global/archives/14634,google,19,18,12,1.5833333333333333,29.75,77,0,0
/global/archives/16834,(direct),19,16,13,1.4615384615384615,25.153846153846153,82,0,0
/global/who-we-are,google,19,21,14,1.3571428571428572,13.214285714285714,78,0,0
/global/archives/16970,google,18,17,13,1.3846153846153846,21.384615384615383,70,0,0
/global/archives/16939,linkedin.com,17,19,17,1,32.294117647058826,79,0,0
/global/archives/16980,google,16,17,11,1.4545454545454546,3.6363636363636362,58,0,0
/global/archives/17134,(direct),16,15,13,1.2307692307692308,89.53846153846153,69,0,0
/global/archives/15204,google,15,12,5,3,7.2,50,0,0
/global/archives/15937,google,15,15,6,2.5,1,46,0,0
/global/archives/16131,google,15,15,4,3.75,1,43,0,0
/global/archives/17134,linkedin.com,15,15,13,1.1538461538461537,5.153846153846154,62,0,0
/global/archives/17169,(direct),14,14,13,1.0769230769230769,22.53846153846154,59,0,0
/global/archives/tag/green-bonds,google,14,8,7,2,48.57142857142857,63,0,0
/global/,eng.skgeocentric.com,12,9,6,2,12.833333333333334,51,0,0
/global/archives/12106,google,12,15,9,1.3333333333333333,38.44444444444444,55,0,0
/global/archives/17010,lm.facebook.com,12,12,12,1,0.9166666666666666,53,0,0
/global/archives/15374,google,11,12,8,1.375,88.875,51,0,0
/global/archives/16532,google,11,11,6,1.8333333333333333,18.666666666666668,41,0,0
/global/archives/category/press-room/financial-results,bing,11,5,3,3.6666666666666665,38,42,0,0
/global/archives/tag/sk-wonderland,(direct),11,11,1,11,803,34,0,0
/global/archives/16463,google,10,8,6,1.6666666666666667,22.333333333333332,38,0,0
/global/archives/16881,(direct),10,8,8,1.25,9.75,36,0,0
/global/archives/17010,ozmailer.com,10,9,8,1.25,3.5,36,0,0
/global/archives/9236,google,10,12,8,1.25,60.75,50,0,0
/global/archives/category/corporate/sk-enmove,skenmove.com,10,8,7,1.4285714285714286,34.42857142857143,47,0,0
/global/archives/category/corporate/sk-innovation,(direct),10,7,6,1.6666666666666667,28.833333333333332,36,0,0
/global/archives/category/press-room,(direct),10,10,4,2.5,11.25,41,0,0
/global/archives/tag/sko,google,10,7,7,1.4285714285714286,41.714285714285715,45,0,0
/global/archives/tag/solid-power,google,10,8,8,1.25,11.875,49,0,0
/global/archives/13521,google,9,10,9,1,48.22222222222222,41,0,0
/global/archives/13780,google,9,11,7,1.2857142857142858,55.857142857142854,41,0,0
/global/archives/14491,google,9,8,7,1.2857142857142858,5.285714285714286,38,0,0
/global/archives/16719,google,9,8,4,2.25,24.5,29,0,0
/global/archives/17022,ozmailer.com,9,9,8,1.125,4.375,40,0,0
/global/archives/category/corporate/sk-earthon,google,9,6,5,1.8,35.6,39,0,0
/global/archives/12022,google,8,10,7,1.1428571428571428,20.142857142857142,38,0,0
/global/archives/12610,google,8,8,3,2.6666666666666665,129.33333333333334,30,0,0
/global/archives/15865,google,8,8,2,4,13.5,20,0,0
/global/archives/16060,google,8,10,8,1,112.875,41,0,0
/global/archives/16493,google,8,8,8,1,115.625,38,0,0
/global/archives/16613,(direct),8,7,6,1.3333333333333333,1.1666666666666667,30,0,0
/global/archives/16881,linkedin.com,8,8,3,2.6666666666666665,48.666666666666664,30,0,0
/global/archives/16952,(direct),8,8,8,1,11.875,29,0,0
/global/archives/17010,m.facebook.com,8,8,7,1.1428571428571428,2.142857142857143,36,0,0
/global/archives/17169,google,8,8,7,1.1428571428571428,53.714285714285715,34,0,0
/global/archives/11807,google,7,6,2,3.5,115.5,28,0,0
/global/archives/12692,google,7,7,7,1,35.714285714285715,34,0,0
/global/archives/13130,google,7,6,5,1.4,70,33,0,0
/global/archives/13595,google,7,6,5,1.4,140,27,0,0
/global/archives/15259,google,7,6,6,1.1666666666666667,4.833333333333333,28,0,0
/global/archives/16787,google,7,3,3,2.3333333333333335,13.666666666666666,26,0,0
/global/archives/16925,(direct),7,7,6,1.1666666666666667,81.83333333333333,33,0,0
/global/archives/16939,electrive.com,7,8,4,1.75,16,31,0,0
/global/archives/17010,app.contify.com,7,5,4,1.75,39.75,30,0,0
/global/archives/17022,skinnovation.com,7,6,5,1.4,20.6,28,0,0
/global/archives/3820,google,7,7,6,1.1666666666666667,17,25,0,0
/global/archives/9910,google,7,9,7,1,41.42857142857143,40,0,0
/global/archives/category/corporate/sk-energy,10.10.10.10:10100,7,3,1,7,376,30,0,0
/global/archives/category/press-room/press-release,skinnovation.com,7,5,5,1.4,22.8,24,0,0
/global/archives/tag/lithium-ion-battery,google,7,5,4,1.75,91.25,33,0,0
/global/sustainability-report,google,7,6,5,1.4,18.4,32,0,0
/global/,bing,6,2,2,3,39,23,0,0
/global/archives/10654,google,6,5,5,1.2,60.8,29,0,0
/global/archives/14309,google,6,8,5,1.2,18.4,28,0,0
/global/archives/14493,google,6,6,1,6,0,15,0,0
/global/archives/16480,(direct),6,6,5,1.2,4.4,19,0,0
/global/archives/16939,statics.teams.cdn.office.net,6,7,5,1.2,27,30,0,0
/global/archives/16970,skinnovation.com,6,5,5,1.2,33.4,24,0,0
/global/archives/16980,(direct),6,7,4,1.5,5.25,23,0,0
/global/archives/4612,google,6,4,4,1.5,15,26,0,0
/global/archives/7245,google,6,5,5,1.2,23.6,28,0,0
/global/archives/7596,google,6,6,6,1,16.333333333333332,28,0,0
/global/archives/category/corporate/sk-incheon-petrochem,skincheonpetrochem.com,6,2,1,6,51,20,0,0
/global/archives/category/corporate/sk-on,skinnovation.com,6,2,1,6,169,23,0,0
/global/archives/category/people,google,6,3,3,2,42,23,0,0
/global/archives/tag/interbattery-2023,google,6,1,1,6,45,24,0,0
/global/,eng.sk-on.com,5,5,4,1.25,26.5,22,0,0
/global/archives/11486,google,5,7,2,2.5,28,23,0,0
/global/archives/12008,google,5,6,5,1,39.8,24,0,0
/global/archives/12106,(direct),5,3,3,1.6666666666666667,52,20,0,0
/global/archives/12603,skincheonpetrochem.com,5,2,1,5,49,18,0,0
/global/archives/14083,google,5,3,3,1.6666666666666667,43,23,0,0
/global/archives/14193,google,5,5,5,1,23.8,22,0,0
/global/archives/15574,google,5,6,6,0.8333333333333334,20.166666666666668,26,0,0
/global/archives/15687,google,5,6,6,0.8333333333333334,65.66666666666667,25,0,0
/global/archives/15687,skenmove.com,5,5,3,1.6666666666666667,49.333333333333336,19,0,0
/global/archives/15689,google,5,6,3,1.6666666666666667,31.666666666666668,21,0,0
/global/archives/16719,linkedin.com,5,3,1,5,122,16,0,0
/global/archives/16787,skinnovation.com,5,3,3,1.6666666666666667,87,20,0,0
/global/archives/16925,google,5,5,5,1,11.6,20,0,0
/global/archives/16970,(direct),5,5,5,1,35,19,0,0
/global/archives/16970,linkedin.com,5,5,5,1,1.6,23,0,0
/global/archives/17047,ozmailer.com,5,5,4,1.25,0.75,19,0,0
/global/archives/17047,skinnovation.com,5,3,2,2.5,42,16,0,0
/global/archives/17047,statics.teams.cdn.office.net,5,6,5,1,30.4,26,0,0
/global/archives/2329,google,5,5,1,5,0,17,0,0
/global/archives/3674,google,5,5,4,1.25,37.5,21,0,0
/global/archives/3873,google,5,3,3,1.6666666666666667,127,22,0,0
/global/archives/4499,google,5,6,5,1,30,27,0,0
/global/archives/4844,google,5,5,5,1,46.8,23,0,0
/global/archives/7302,google,5,4,3,1.6666666666666667,101,22,0,0
/global/archives/7919,google,5,5,5,1,72.4,28,0,0
/global/archives/8067,google,5,3,3,1.6666666666666667,152.33333333333334,25,0,0
/global/archives/category/ces/ces-2023,google,5,3,3,1.6666666666666667,23,20,0,0
/global/archives/category/corporate,google,5,5,5,1,5.8,19,0,0
/global/archives/category/corporate/sk-energy,google,5,5,5,1,22.6,19,0,0
/global/archives/category/people/ceo-leaders,google,5,4,4,1.25,27.25,20,0,0
/global/archives/tag/ces-2024,google,5,3,3,1.6666666666666667,15,22,0,0
/global/archives/tag/georgia,google,5,3,3,1.6666666666666667,112.33333333333333,21,0,0
/global/archives/tag/sk-innovation-young-ambassador,google,5,1,1,5,43,15,0,0
/global/latestnews,linkedin.com,5,4,2,2.5,13.5,19,0,0
/global/archives/11004,google,4,4,3,1.3333333333333333,43.666666666666664,19,0,0
/global/archives/11087,google,4,4,4,1,20.25,19,0,0
/global/archives/11807,(direct),4,3,2,2,0,12,0,0
/global/archives/12269,google,4,4,4,1,23,17,0,0
/global/archives/13795,google,4,5,4,1,15.25,19,0,0
/global/archives/14179,google,4,5,4,1,2.75,15,0,0
/global/archives/15103,google,4,3,2,2,110,16,0,0
/global/archives/15610,google,4,4,3,1.3333333333333333,31.333333333333332,17,0,0
/global/archives/15664,(direct),4,5,3,1.3333333333333333,19,16,0,0
/global/archives/16448,google,4,4,4,1,38.25,18,0,0
/global/archives/16834,skinnovation.com,4,4,4,1,24.25,18,0,0
/global/archives/16939,ukc-word-edit.officeapps.live.com,4,1,1,4,55,17,0,0
/global/archives/16980,linkedin.com,4,4,3,1.3333333333333333,5.666666666666667,16,0,0
/global/archives/17010,skinnovation.com,4,4,4,1,26.5,11,0,0
/global/archives/17047,l.instagram.com,4,4,4,1,0,17,0,0
/global/archives/3962,google,4,4,4,1,25.25,16,0,0
/global/archives/4450,google,4,4,1,4,38,15,0,0
/global/archives/489,google,4,4,4,1,7.5,18,0,0
/global/archives/6253,google,4,4,4,1,211.75,19,0,0
/global/archives/6517,google,4,3,2,2,0,13,0,0
/global/archives/7445,google,4,4,4,1,41.5,20,0,0
/global/archives/7961,google,4,4,4,1,19,18,0,0
/global/archives/822,google,4,4,4,1,21.75,19,0,0
/global/archives/8708,(direct),4,4,2,2,72,16,0,0
/global/archives/9548,google,4,5,4,1,9.5,17,0,0
/global/archives/9695,google,4,4,4,1,8.5,19,0,0
/global/archives/9740,google,4,4,4,1,89,18,0,0
/global/archives/category/ces,google,4,3,3,1.3333333333333333,12.333333333333334,15,0,0
/global/archives/category/corporate,(direct),4,4,3,1.3333333333333333,14.666666666666666,14,0,0
/global/archives/category/corporate,eng.skglobalchemical.com,4,2,1,4,92,17,0,0
/global/archives/category/corporate/sk-geo-centric,eng.skgeocentric.com,4,1,1,4,9,13,0,0
/global/archives/category/corporate/sk-innovation,skinnovation.com,4,3,3,1.3333333333333333,132,16,0,0
/global/archives/category/corporate/sk-on,naver,4,2,2,2,16,16,0,0
/global/archives/category/insight,google,4,4,4,1,63.5,16,0,0
/global/archives/category/press-room/financial-results,in.search.yahoo.com,4,2,1,4,35,18,0,0
/global/archives/category/press-room/press-release,eng.skgeocentric.com,4,3,2,2,20.5,17,0,0
/global/archives/tag/jee-dong-seob,google,4,3,3,1.3333333333333333,11.333333333333334,15,0,0
/global/archives/tag/pouch-type-battery,google,4,4,3,1.3333333333333333,15.333333333333334,21,0,0
/global/archives/10133,(direct),3,3,2,1.5,21.5,12,0,0
/global/archives/10133,google,3,3,3,1,61.333333333333336,15,0,0
/global/archives/10872,google,3,3,3,1,14.333333333333334,16,0,0
/global/archives/10913,google,3,3,3,1,47,13,0,0
/global/archives/10985,google,3,2,2,1.5,90.5,12,0,0
/global/archives/11147,sktradinginternational.com,3,3,1,3,78,14,0,0
/global/archives/11161,google,3,4,3,1,1.3333333333333333,15,0,0
/global/archives/11683,google,3,6,2,1.5,88.5,19,0,0
/global/archives/12022,(direct),3,5,3,1,0,16,0,0
/global/archives/12220,google,3,4,3,1,3.6666666666666665,14,0,0
/global/archives/12471,google,3,3,3,1,16.333333333333332,14,0,0
/global/archives/12692,(direct),3,2,1,3,0,9,0,0
/global/archives/12968,skincheonpetrochem.com,3,2,1,3,115,13,0,0
/global/archives/13329,google,3,3,3,1,15.666666666666666,14,0,0
/global/archives/13748,google,3,3,3,1,16.333333333333332,13,0,0
/global/archives/14065,google,3,3,3,1,15,15,0,0
/global/archives/14226,google,3,3,3,1,12.666666666666666,14,0,0
/global/archives/14243,google,3,4,3,1,40.333333333333336,14,0,0
/global/archives/14491,(direct),3,2,2,1.5,75.5,13,0,0
/global/archives/14541,google,3,3,2,1.5,18,15,0,0
/global/archives/15103,(direct),3,3,3,1,33.666666666666664,16,0,0
/global/archives/15103,skinnovation.com,3,3,1,3,61,10,0,0
/global/archives/15353,google,3,3,2,1.5,5,13,0,0
/global/archives/15985,google,3,4,3,1,24.333333333333332,14,0,0
/global/archives/16286,(direct),3,3,2,1.5,46.5,12,0,0
/global/archives/16463,(direct),3,3,3,1,5.666666666666667,9,0,0
/global/archives/16834,linkedin.com,3,2,1,3,18,9,0,0
/global/archives/16904,(direct),3,3,2,1.5,5.5,10,0,0
/global/archives/16904,google,3,3,3,1,113,12,0,0
