# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240930
# 종료일: 20241006
페이지 경로 및 화면 클래스,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19179,610,501,465,1.3118279569892473,5.653763440860215,2411,0,0
/global/latestnews,216,201,163,1.3251533742331287,23.134969325153374,884,0,0
/global/,199,148,125,1.592,17.512,914,0,0
/global/archives/19078,168,137,75,2.24,19.746666666666666,588,0,0
/global/archives/19045,75,77,57,1.3157894736842106,31.157894736842106,312,0,0
/global/archives/19149,67,67,53,1.2641509433962264,25.09433962264151,262,0,0
/global/archives/19154,63,72,57,1.105263157894737,30.70175438596491,259,0,0
/global/archives/category/press-room/press-release,56,41,28,2,21.75,220,0,0
/global/archives/18546,55,70,47,1.1702127659574468,26.106382978723403,267,0,0
/global/archives/category/corporates/sk-on,37,24,21,1.7619047619047619,21.571428571428573,141,0,0
/global/archives/17623,34,36,26,1.3076923076923077,44.76923076923077,147,0,0
/global/archives/category/press-room/financial-results,32,21,16,2,13.6875,128,0,0
/global/archives/18107,31,30,28,1.1071428571428572,78.14285714285714,148,0,0
/global/archives/15374,30,32,24,1.25,41.291666666666664,130,0,0
/global/archives/17426,29,24,19,1.5263157894736843,33.68421052631579,129,0,0
/global/archives/19014,29,31,24,1.2083333333333333,89.08333333333333,114,0,0
/global/archives/9910,28,28,22,1.2727272727272727,67.72727272727273,116,0,0
/global/archives/category/press-room,28,19,14,2,56.785714285714285,108,0,0
/global/archives/18445,26,26,21,1.2380952380952381,57.095238095238095,125,0,0
/global/archives/18608,26,27,21,1.2380952380952381,24.761904761904763,114,0,0
/global/archives/category/corporates/sk-innovation,26,20,20,1.3,16.4,97,0,0
/global/archives/18989,22,23,13,1.6923076923076923,37.53846153846154,81,0,0
/global/archives/18065,21,19,13,1.6153846153846154,29.53846153846154,86,0,0
/pagead/aclk,21,14,14,1.5,0,68,0,0
/global/archives/12022,20,18,17,1.1764705882352942,44.705882352941174,94,0,0
/global/archives/category/insight,20,17,17,1.1764705882352942,14,81,0,0
/global/archives/category/people,19,19,18,1.0555555555555556,22.666666666666668,78,0,0
/global/archives/14766,18,20,13,1.3846153846153846,45.53846153846154,77,0,0
/global/archives/17499,18,20,16,1.125,67.125,84,0,0
/global/archives/18770,18,18,12,1.5,49.25,73,0,0
/global/archives/11087,16,10,9,1.7777777777777777,30.88888888888889,66,0,0
/global/archives/16376,16,14,9,1.7777777777777777,31.77777777777778,57,0,0
/global/archives/19108,16,22,14,1.1428571428571428,11.142857142857142,72,0,0
/global/archives/category/corporates,16,15,14,1.1428571428571428,16.357142857142858,60,0,0
/global/archives/16060,15,14,12,1.25,22.083333333333332,65,0,0
/global/archives/16463,15,17,14,1.0714285714285714,68.64285714285714,73,0,0
/global/archives/9740,15,15,14,1.0714285714285714,13.714285714285714,64,0,0
/global/archives/17216,14,14,13,1.0769230769230769,35.69230769230769,65,0,0
/global/archives/4612,14,13,9,1.5555555555555556,46.44444444444444,60,0,0
/global/archives/12106,13,11,4,3.25,44,52,0,0
/global/archives/15937,13,16,9,1.4444444444444444,24.11111111111111,59,0,0
/global/archives/17356,13,14,12,1.0833333333333333,36.166666666666664,57,0,0
