# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240930
# 종료일: 20241006
페이지 경로 및 화면 클래스,국가,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19179,Chile,452,355,333,1.3573573573573574,4.348348348348348,1813,0,0
/global/latestnews,China,99,107,107,0.9252336448598131,20.429906542056074,396,0,0
/global/archives/19078,United Arab Emirates,86,58,13,6.615384615384615,2.076923076923077,243,0,0
/global/archives/19179,United States,74,66,63,1.1746031746031746,5.142857142857143,275,0,0
/global/,South Korea,39,29,23,1.6956521739130435,13.695652173913043,185,0,0
/global/,United Kingdom,26,26,26,1,1.8076923076923077,121,0,0
/global/archives/19149,South Korea,25,24,20,1.25,2.95,91,0,0
/global/,United States,23,21,19,1.2105263157894737,14.68421052631579,106,0,0
/global/archives/19045,Malaysia,23,22,16,1.4375,48.5625,95,0,0
/global/archives/19078,South Korea,23,18,15,1.5333333333333334,7.6,91,0,0
/global/archives/19179,(not set),23,23,23,1,0,92,0,0
/global/latestnews,Poland,22,23,15,1.4666666666666666,10.8,101,0,0
/global/archives/9910,Malaysia,21,22,16,1.3125,91.5,90,0,0
/global/latestnews,South Korea,21,10,5,4.2,51.6,86,0,0
/global/archives/19154,South Korea,20,19,17,1.1764705882352942,3.2941176470588234,76,0,0
/global/,India,19,7,6,3.1666666666666665,27.166666666666668,85,0,0
/global/archives/19179,South Korea,19,11,10,1.9,3.9,67,0,0
/pagead/aclk,United States,19,12,12,1.5833333333333333,0,60,0,0
/global/archives/19014,Poland,18,21,15,1.2,97.73333333333333,71,0,0
/global/archives/19045,Singapore,16,18,13,1.2307692307692308,42.84615384615385,73,0,0
/global/latestnews,Germany,16,16,2,8,13,56,0,0
/global/archives/category/corporates/sk-on,South Korea,14,5,5,2.8,12.8,56,0,0
/global/,Japan,13,10,9,1.4444444444444444,21.333333333333332,56,0,0
/global/latestnews,United States,13,12,7,1.8571428571428572,27.142857142857142,53,0,0
/global/archives/17623,Philippines,12,12,6,2,47,49,0,0
/global/archives/18107,United States,12,11,11,1.0909090909090908,54,56,0,0
/global/archives/category/press-room/financial-results,India,12,4,4,3,28.75,47,0,0
/global/archives/category/press-room/press-release,India,12,12,8,1.5,19.375,51,0,0
/global/archives/category/press-room/press-release,Japan,12,10,4,3,37,45,0,0
/global/archives/18445,Spain,11,11,7,1.5714285714285714,41.285714285714285,50,0,0
/global/archives/18546,Singapore,11,14,9,1.2222222222222223,20.11111111111111,56,0,0
/global/archives/18546,United States,11,15,11,1,11,58,0,0
/global/archives/19154,India,11,15,9,1.2222222222222223,57.666666666666664,49,0,0
/global/,Singapore,10,7,7,1.4285714285714286,19.857142857142858,61,0,0
/global/archives/18065,Germany,10,7,3,3.3333333333333335,110,37,0,0
/global/archives/9740,United States,10,10,10,1,16.7,46,0,0
/global/archives/category/corporates/sk-innovation,India,10,4,4,2.5,16,38,0,0
/global/latestnews,Hong Kong,10,2,2,5,91.5,39,0,0
/global/,Bulgaria,9,1,1,9,372,41,0,0
/global/archives/14766,United States,9,10,7,1.2857142857142858,30.857142857142858,43,0,0
/global/archives/18445,South Korea,9,10,9,1,15.444444444444445,47,0,0
/global/archives/19149,India,9,11,7,1.2857142857142858,76.85714285714286,35,0,0
/global/archives/19179,India,9,10,7,1.2857142857142858,76,37,0,0
/global/archives/category/press-room,Singapore,9,6,1,9,26,34,0,0
/global/,Hong Kong,8,3,3,2.6666666666666665,23.666666666666668,35,0,0
/global/,Malaysia,8,4,2,4,90.5,39,0,0
/global/,Poland,8,9,6,1.3333333333333333,10,32,0,0
/global/archives/16376,India,8,6,1,8,0,22,0,0
/global/archives/17623,South Korea,8,8,7,1.1428571428571428,12.285714285714286,31,0,0
/global/archives/19078,United States,8,10,7,1.1428571428571428,17.428571428571427,40,0,0
/global/archives/category/press-room,India,8,3,3,2.6666666666666665,87,32,0,0
/global/archives/category/press-room/press-release,United States,8,7,6,1.3333333333333333,11.166666666666666,32,0,0
/global/latestnews,Philippines,8,4,2,4,171,34,0,0
/global/archives/11087,India,7,1,1,7,114,29,0,0
/global/archives/15007,Japan,7,5,2,3.5,50.5,26,0,0
/global/archives/16463,United States,7,8,7,1,28.428571428571427,37,0,0
/global/archives/17426,United Kingdom,7,4,2,3.5,31,31,0,0
/global/archives/18989,Poland,7,7,1,7,0,22,0,0
/global/archives/18989,South Korea,7,7,4,1.75,5.75,28,0,0
/global/archives/19045,South Korea,7,6,6,1.1666666666666667,7.333333333333333,29,0,0
/global/archives/19078,Iran,7,6,2,3.5,0,20,0,0
/global/archives/category/insight/trend_report,South Korea,7,5,3,2.3333333333333335,13.666666666666666,25,0,0
/global/archives/tag/northvolt,South Korea,7,5,5,1.4,10.6,34,0,0
/global/,Germany,6,6,6,1,5,25,0,0
/global/archives/11087,United States,6,6,5,1.2,12.4,24,0,0
/global/archives/11161,India,6,6,3,2,63,25,0,0
/global/archives/12022,Russia,6,6,5,1.2,57.4,26,0,0
/global/archives/12106,South Korea,6,5,1,6,143,23,0,0
/global/archives/16060,Japan,6,7,5,1.2,12.8,26,0,0
/global/archives/16131,France,6,6,0,0,0,18,0,0
/global/archives/17356,United States,6,7,6,1,28.333333333333332,25,0,0
/global/archives/17426,India,6,5,4,1.5,14.25,26,0,0
/global/archives/17426,Singapore,6,5,4,1.5,40.5,27,0,0
/global/archives/18283,India,6,6,2,3,8,22,0,0
/global/archives/18546,India,6,6,4,1.5,36.25,25,0,0
/global/archives/18546,Japan,6,8,5,1.2,18,32,0,0
/global/archives/18608,South Korea,6,6,5,1.2,28.2,26,0,0
/global/archives/19078,India,6,8,6,1,15.5,26,0,0
/global/archives/19078,Singapore,6,7,6,1,25.5,30,0,0
/global/archives/19154,Singapore,6,8,5,1.2,161.2,25,0,0
/global/archives/19154,United Kingdom,6,9,9,0.6666666666666666,9.555555555555555,28,0,0
/global/archives/6014,United States,6,6,1,6,20,17,0,0
