# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241021
# 종료일: 20241027
페이지 경로 및 화면 클래스,국가,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/global/archives/19268,Mexico,824,626,559,1.4740608228980323,4.028622540250447,2988,0,0
/global/archives/19268,United States,98,86,79,1.240506329113924,18.949367088607595,371,0,0
/global/latestnews,China,94,110,110,0.8545454545454545,20.51818181818182,380,0,0
/pagead/aclk,United States,93,60,59,1.576271186440678,0,289,0,0
/global/,South Korea,69,43,34,2.0294117647058822,40.970588235294116,623,0,0
/global/archives/19393,South Korea,64,57,52,1.2307692307692308,24.673076923076923,245,0,0
/global/archives/19393,United States,59,61,59,1,18.016949152542374,258,0,0
/global/,Japan,36,18,13,2.769230769230769,32.69230769230769,185,0,0
/global/,United Kingdom,28,27,27,1.037037037037037,1.7407407407407407,136,0,0
/global/archives/19393,Singapore,26,23,22,1.1818181818181819,26.5,110,0,0
/global/latestnews,Germany,24,24,1,24,10,54,0,0
/global/archives/19045,Malaysia,22,22,20,1.1,49.7,95,0,0
/global/archives/4921,United States,21,18,18,1.1666666666666667,20.166666666666668,94,0,0
/global/archives/19268,(not set),20,20,20,1,0,80,0,0
/global/archives/18546,South Korea,19,21,14,1.3571428571428572,12.857142857142858,81,0,0
/global/,United States,18,19,18,1,11.38888888888889,308,0,0
/global/archives/17356,Hong Kong,18,17,9,2,28.11111111111111,63,0,0
/global/,Singapore,17,17,16,1.0625,11.1875,73,0,0
/global/archives/15490,United States,16,16,15,1.0666666666666667,14.333333333333334,72,0,0
/global/,Hungary,15,8,4,3.75,76,70,0,0
/global/archives/15937,Japan,15,12,6,2.5,83.16666666666667,67,0,0
/global/archives/19268,Canada,14,13,9,1.5555555555555556,16.11111111111111,50,0,0
/global/archives/15490,Canada,13,14,9,1.4444444444444444,32,60,0,0
/global/archives/18546,Hong Kong,13,15,9,1.4444444444444444,7.888888888888889,57,0,0
/global/archives/19393,Japan,13,11,9,1.4444444444444444,75.11111111111111,54,0,0
/global/archives/category/corporates/sk-earthon,Japan,13,4,4,3.25,62.5,51,0,0
/global/archives/12274/skee,South Korea,12,9,9,1.3333333333333333,6.555555555555555,59,0,0
/global/archives/17569,Hong Kong,12,14,6,2,6.166666666666667,43,0,0
/global/archives/19078,South Korea,12,10,10,1.2,5.4,48,0,0
/global/archives/19349,South Korea,12,10,10,1.2,8.5,42,0,0
/global/archives/9740,Vietnam,12,13,9,1.3333333333333333,78.22222222222223,52,0,0
/global/archives/category/press-room/financial-results,Hong Kong,12,10,5,2.4,18.4,51,0,0
/global/archives/15687,Hong Kong,11,13,6,1.8333333333333333,106,44,0,0
/global/archives/17426,United States,11,11,11,1,20.727272727272727,48,0,0
/global/archives/18107,United States,11,11,11,1,147.54545454545453,56,0,0
/global/archives/18546,United States,11,12,9,1.2222222222222223,67.11111111111111,52,0,0
/global/archives/category/press-room/financial-results,United Kingdom,11,7,5,2.2,14,44,0,0
/global/archives/category/press-room/financial-results,United States,11,5,5,2.2,40.8,43,0,0
/global/archives/category/press-room/press-release,Japan,11,10,2,5.5,24,37,0,0
/global/latestnews,United States,11,12,5,2.2,66.4,44,0,0
/global/archives/17737,South Korea,10,9,9,1.1111111111111112,32.888888888888886,49,0,0
/global/archives/19179,United States,10,12,9,1.1111111111111112,7.555555555555555,44,0,0
/global/archives/19268,South Korea,10,10,10,1,14.8,35,0,0
/global/archives/category/corporates/sk-geo-centric,South Korea,10,4,3,3.3333333333333335,22.333333333333332,38,0,0
/global/archives/category/press-room/press-release,Singapore,10,9,6,1.6666666666666667,28.833333333333332,40,0,0
/global/,Germany,9,8,8,1.125,12,46,0,0
/global/archives/18546,Singapore,9,9,7,1.2857142857142858,42.57142857142857,34,0,0
/global/archives/18608,United Kingdom,9,6,4,2.25,42.5,36,0,0
/global/archives/18608,United States,9,8,6,1.5,9,34,0,0
/global/archives/19179,Japan,9,8,6,1.5,60.166666666666664,33,0,0
/global/archives/19179,South Korea,9,8,7,1.2857142857142858,10.714285714285714,34,0,0
/global/archives/19268,Indonesia,9,6,4,2.25,1.25,30,0,0
/global/archives/19328,South Korea,9,8,7,1.2857142857142858,11,32,0,0
/global/archives/19393,Germany,9,10,9,1,17,39,0,0
/global/archives/5772,India,9,3,1,9,89,22,0,0
/global/archives/category/insight,United States,9,9,9,1,10,33,0,0
/global/archives/category/press-room/financial-results,India,9,3,3,3,21.333333333333332,38,0,0
/global/,Hong Kong,8,8,8,1,4.875,36,0,0
/global/archives/10774,United States,8,8,7,1.1428571428571428,20.571428571428573,41,0,0
