# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241021
# 종료일: 20241027
페이지 경로 및 화면 클래스,세션 소스,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/global/archives/19268,google,870,686,619,1.4054927302100162,3.6106623586429727,3166,0,0
/global/latestnews,(direct),135,134,103,1.3106796116504855,20.485436893203882,481,0,0
/global/archives/19393,(direct),109,101,95,1.1473684210526316,19.242105263157896,442,0,0
/pagead/aclk,google,103,68,67,1.537313432835821,0,324,0,0
/global/archives/19268,(direct),95,66,57,1.6666666666666667,47.85964912280702,337,0,0
/global/archives/19393,linkedin.com,93,93,85,1.0941176470588236,27.129411764705882,406,0,0
/global/,(direct),89,68,62,1.435483870967742,23.14516129032258,682,0,0
/global/,google,72,52,46,1.565217391304348,15.23913043478261,344,0,0
/global/archives/18546,google,56,61,46,1.2173913043478262,32.23913043478261,251,0,0
/global/archives/19268,linkedin.com,50,51,37,1.3513513513513513,76.75675675675676,223,0,0
/global/archives/category/press-room/financial-results,google,43,24,18,2.388888888888889,19.166666666666668,177,0,0
/global/archives/19078,google,41,38,27,1.5185185185185186,52.81481481481482,172,0,0
/global/archives/19045,google,37,35,31,1.1935483870967742,43,155,0,0
/global/archives/18107,google,33,31,29,1.1379310344827587,119.62068965517241,158,0,0
/global/archives/15490,google,32,27,21,1.5238095238095237,57.285714285714285,147,0,0
/global/archives/18608,google,31,28,20,1.55,31.6,129,0,0
/global/archives/category/press-room/press-release,(direct),30,24,13,2.3076923076923075,22.307692307692307,112,0,0
/global/archives/17426,google,27,24,19,1.4210526315789473,41.26315789473684,122,0,0
/global/archives/19179,google,26,29,21,1.2380952380952381,71.14285714285714,108,0,0
/global/archives/category/corporates,google,24,17,17,1.411764705882353,16.764705882352942,95,0,0
/global/,linkedin.com,23,22,10,2.3,24,96,0,0
/global/,skinnovation.com,23,17,11,2.090909090909091,135.72727272727272,289,0,0
/global/archives/19179,(direct),21,20,17,1.2352941176470589,26.352941176470587,85,0,0
/global/archives/4921,google,21,18,18,1.1666666666666667,20.166666666666668,94,0,0
/global/archives/category/corporates/sk-on,google,19,14,12,1.5833333333333333,45.583333333333336,78,0,0
/global/archives/category/press-room/press-release,google,19,17,15,1.2666666666666666,31,78,0,0
/global/archives/17446,(direct),18,20,21,0.8571428571428571,5.428571428571429,67,0,0
/global/archives/19349,(direct),18,16,16,1.125,10.0625,73,0,0
/global/archives/15374,google,17,24,15,1.1333333333333333,25.866666666666667,90,0,0
/global/archives/17356,google,17,18,13,1.3076923076923077,24.076923076923077,68,0,0
/global/archives/18546,(direct),17,17,15,1.1333333333333333,38.8,77,0,0
/global/archives/18770,google,17,17,12,1.4166666666666667,11.25,71,0,0
/global/archives/category/corporates/sk-earthon,google,16,9,8,2,35.25,65,0,0
/global/archives/15490,(direct),15,15,13,1.1538461538461537,23.615384615384617,64,0,0
/global/archives/16060,google,15,14,12,1.25,11.833333333333334,59,0,0
/global/archives/16463,google,15,14,11,1.3636363636363635,26.90909090909091,68,0,0
/global/archives/17499,google,15,19,15,1,23,73,0,0
/global/archives/10774,google,14,13,12,1.1666666666666667,11.666666666666666,65,0,0
/global/archives/17356,(direct),14,14,12,1.1666666666666667,10.083333333333334,55,0,0
/global/archives/17737,google,14,15,13,1.0769230769230769,55.30769230769231,72,0,0
/global/archives/19393,ozmailer.com,14,11,9,1.5555555555555556,14,43,0,0
/global/archives/category/corporates/sk-innovation,google,14,12,12,1.1666666666666667,12.75,51,0,0
/global/archives/category/press-room,google,14,14,13,1.0769230769230769,9.076923076923077,54,0,0
/global/archives/15687,google,13,14,8,1.625,40.5,57,0,0
/global/archives/15937,(direct),13,12,6,2.1666666666666665,70.5,60,0,0
/global/archives/16834,google,13,12,11,1.1818181818181819,23.272727272727273,58,0,0
/global/archives/6216,google,13,17,12,1.0833333333333333,58.833333333333336,69,0,0
/global/archives/category/corporates/sk-energy,google,13,9,9,1.4444444444444444,15.333333333333334,48,0,0
/global/archives/12274/skee,google,12,9,9,1.3333333333333333,6.555555555555555,59,0,0
/global/archives/17623,google,12,13,12,1,47.083333333333336,61,0,0
/global/archives/18608,(direct),12,12,10,1.2,5.1,51,0,0
/global/archives/category/corporates/sk-innovation,(direct),12,9,9,1.3333333333333333,24.666666666666668,46,0,0
/global/,eng.sk-on.com,11,7,6,1.8333333333333333,37.5,67,0,0
/global/archives/12022,google,11,12,11,1,95.63636363636364,59,0,0
/global/archives/15687,skenmove.com,11,14,6,1.8333333333333333,90.5,48,0,0
/global/archives/17426,(direct),11,13,11,1,12.090909090909092,46,0,0
/global/archives/17595,google,11,14,8,1.375,18.75,52,0,0
/global/archives/18022,google,11,9,7,1.5714285714285714,51.714285714285715,47,0,0
/global/archives/18445,google,11,13,10,1.1,74.9,52,0,0
/global/archives/19328,(direct),11,11,11,1,9.636363636363637,42,0,0
/global/archives/5772,google,11,5,3,3.6666666666666665,29.666666666666668,30,0,0
/global/archives/category/corporates/sk-geo-centric,(direct),11,5,3,3.6666666666666665,18,44,0,0
/global/archives/14491,(direct),10,10,9,1.1111111111111112,25.88888888888889,43,0,0
/global/archives/14491,google,10,13,7,1.4285714285714286,12.428571428571429,44,0,0
/global/archives/9910,google,10,11,9,1.1111111111111112,155.55555555555554,51,0,0
/global/archives/category/corporate/sk-enmove,skenmove.com,10,10,6,1.6666666666666667,14.5,41,0,0
/global/archives/category/corporates/sk-ie-technology,google,10,8,6,1.6666666666666667,26,41,0,0
/global/,bing,9,5,4,2.25,24,57,0,0
/global/archives/13748,google,9,9,5,1.8,101.4,37,0,0
/global/archives/16532,google,9,6,6,1.5,93.16666666666667,41,0,0
/global/archives/17569,(direct),9,9,7,1.2857142857142858,5.285714285714286,33,0,0
/global/archives/18301,google,9,9,9,1,22,40,0,0
/global/archives/18332,google,9,14,6,1.5,43.166666666666664,48,0,0
/global/archives/19154,google,9,8,8,1.125,22.125,40,0,0
/global/archives/19393,google,9,11,8,1.125,60.125,42,0,0
/global/archives/19393,skinnovation.com,9,7,5,1.8,208.8,34,0,0
/global/archives/category/corporates,(direct),9,7,7,1.2857142857142858,17.142857142857142,35,0,0
/global/archives/11087,google,8,6,6,1.3333333333333333,220,40,0,0
/global/archives/12950,(direct),8,8,8,1,10.125,27,0,0
/global/archives/13780,google,8,9,8,1,52.625,35,0,0
/global/archives/17169,google,8,7,7,1.1428571428571428,29.142857142857142,37,0,0
/global/archives/17569,google,8,11,8,1,7.25,33,0,0
/global/archives/18361,google,8,8,7,1.1428571428571428,42.714285714285715,31,0,0
/global/archives/3962,google,8,8,8,1,14.5,38,0,0
/global/archives/category/people,google,8,5,5,1.6,12.8,31,0,0
/global/archives/category/press-room,(direct),8,7,3,2.6666666666666665,1.3333333333333333,28,0,0
/global/,eng.skglobalchemical.com,7,3,2,3.5,31,35,0,0
/global/archives/11161,google,7,4,4,1.75,53.25,29,0,0
/global/archives/14243,google,7,7,4,1.75,1.25,24,0,0
/global/archives/15610,google,7,7,6,1.1666666666666667,12.5,33,0,0
/global/archives/17216,google,7,9,7,1,51.142857142857146,33,0,0
/global/archives/19078,(direct),7,7,5,1.4,1.6,26,0,0
/global/archives/19230,google,7,7,7,1,16.428571428571427,28,0,0
/global/archives/6253,google,7,2,2,3.5,35.5,24,0,0
/global/archives/7919,google,7,8,6,1.1666666666666667,49.666666666666664,36,0,0
/global/archives/9740,(direct),7,7,5,1.4,121.4,29,0,0
/global/archives/category/corporates/sk-geo-centric,google,7,5,3,2.3333333333333335,36,29,0,0
/global/archives/category/people/inno-people,google,7,5,5,1.4,24,25,0,0
/global/archives/10872,google,6,7,3,2,60.666666666666664,24,0,0
/global/archives/10939,google,6,7,4,1.5,37,24,0,0
/global/archives/14415,google,6,3,3,2,20.333333333333332,21,0,0
/global/archives/15353,google,6,6,6,1,9.166666666666666,25,0,0
/global/archives/15664,(direct),6,5,4,1.5,25.25,29,0,0
/global/archives/15937,google,6,4,4,1.5,44.5,25,0,0
/global/archives/16376,google,6,6,1,6,16,19,0,0
/global/archives/17356,statics.teams.cdn.office.net,6,7,4,1.5,5,20,0,0
/global/archives/17817,google,6,6,5,1.2,21,25,0,0
/global/archives/18167,google,6,6,2,3,79.5,32,0,0
/global/archives/18690,google,6,4,4,1.5,23.25,25,0,0
/global/archives/19179,bing,6,5,3,2,2,22,0,0
/global/archives/19179,skenmove.com,6,7,5,1.2,50.2,23,0,0
/global/archives/19230,(direct),6,8,7,0.8571428571428571,9,25,0,0
/global/archives/19328,ozmailer.com,6,5,4,1.5,7,18,0,0
/global/archives/19349,ozmailer.com,6,5,5,1.2,3.8,19,0,0
/global/archives/311,google,6,5,2,3,14.5,24,0,0
/global/archives/3820,google,6,8,5,1.2,11.6,27,0,0
/global/archives/736,google,6,5,5,1.2,20.2,24,0,0
/global/archives/category/corporates/sk-energy,bing,6,4,4,1.5,30.25,23,0,0
/global/archives/category/corporates/sk-enmove,google,6,3,3,2,39,23,0,0
/global/archives/category/people,(direct),6,7,7,0.8571428571428571,7.857142857142857,22,0,0
/global/archives/category/press-room,skinnovation.com,6,7,3,2,22,23,0,0
/global/archives/tag/sk-hi-tech-battery-materials-poland,google,6,4,4,1.5,12.5,25,0,0
/global/,googleadservices.com,5,5,5,1,0,19,0,0
/global/archives/10535,google,5,6,4,1.25,4.5,19,0,0
/global/archives/12036,google,5,6,3,1.6666666666666667,6,22,0,0
/global/archives/12106,google,5,8,5,1,9.8,27,0,0
/global/archives/12306,google,5,6,4,1.25,12.25,24,0,0
/global/archives/12692,(direct),5,6,4,1.25,0,22,0,0
/global/archives/13521,google,5,4,3,1.6666666666666667,15.666666666666666,23,0,0
/global/archives/15259,(direct),5,5,5,1,0,20,0,0
/global/archives/15687,(direct),5,5,5,1,19.4,19,0,0
/global/archives/17313,google,5,6,5,1,44.8,20,0,0
/global/archives/17426,skinnovation.com,5,5,1,5,27,17,0,0
/global/archives/17476,google,5,6,5,1,39.6,26,0,0
/global/archives/17569,skenmove.com,5,7,5,1,64.2,25,0,0
/global/archives/18022,(direct),5,2,2,2.5,59.5,17,0,0
/global/archives/18659,google,5,7,5,1,24.6,25,0,0
/global/archives/19154,(direct),5,3,2,2.5,77,21,0,0
