# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240801
# 종료일: 20240831
페이지 경로 및 화면 클래스,기기 카테고리,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/,desktop,3595,1522,2.362023653088042,29.319316688567675,16228,0,0
/archives/category/press/press-release,desktop,1853,1589,1.1661422278162366,5.5198237885462555,7833,0,0
/archives/32828,mobile,703,616,1.1412337662337662,51.31818181818182,3347,0,0
/posts,desktop,638,209,3.0526315789473686,77.4401913875598,2656,0,0
/archives/84588,desktop,603,518,1.164092664092664,53.496138996138995,2880,0,0
/archives/116170,mobile,561,413,1.3583535108958837,26.578692493946733,2158,0,0
/archives/113797,desktop,555,486,1.1419753086419753,68.17901234567901,2792,0,0
/,mobile,515,253,2.035573122529644,18.66798418972332,2135,0,0
/archives/category/business/sk-on,desktop,473,232,2.038793103448276,41.62068965517241,1927,0,0
/archives/115674,desktop,401,294,1.3639455782312926,116.83333333333333,1711,0,0
/archives/96864,mobile,397,368,1.078804347826087,44.57065217391305,1820,0,0
/archives/115988,desktop,390,296,1.3175675675675675,70.51689189189189,1687,0,0
/archives/115731,desktop,378,323,1.1702786377708978,116.40557275541795,1848,0,0
/archives/84588,mobile,374,338,1.106508875739645,36.946745562130175,1630,0,0
/archives/114973,desktop,347,232,1.4956896551724137,75.11637931034483,1523,0,0
/archives/category/business/sk-innovation,desktop,342,188,1.8191489361702127,42.952127659574465,1362,0,0
/archives/114278,mobile,331,296,1.1182432432432432,3.0371621621621623,1304,0,0
/archives/116199,mobile,268,224,1.1964285714285714,91.3125,1096,0,0
/archives/category/business,desktop,262,139,1.8848920863309353,37.21582733812949,1016,0,0
/archives/115731,mobile,235,180,1.3055555555555556,99.20555555555555,1017,0,0
/archives/category/business/sk-energy,desktop,233,142,1.6408450704225352,35.40845070422535,973,0,0
/archives/114094,desktop,221,183,1.2076502732240437,50.69945355191257,1087,0,0
/archives/category/industry-and-insight/basics,desktop,218,106,2.056603773584906,47.12264150943396,865,0,0
/archives/104002,desktop,213,182,1.1703296703296704,96.7032967032967,994,0,0
/archives/116346,desktop,210,177,1.1864406779661016,28.056497175141242,917,0,0
/archives/115057,desktop,206,176,1.1704545454545454,73.9659090909091,998,0,0
/archives/116018,desktop,201,154,1.3051948051948052,18.045454545454547,791,0,0
/archives/113797,mobile,192,181,1.0607734806629834,42.47513812154696,894,0,0
/archives/104985,mobile,191,184,1.0380434782608696,10.73913043478261,817,0,0
/archives/115988,mobile,191,170,1.1235294117647059,49.63529411764706,860,0,0
/archives/32828,desktop,189,172,1.0988372093023255,125.8953488372093,979,0,0
/archives/115877,desktop,184,132,1.393939393939394,67.43939393939394,865,0,0
/archives/113159,desktop,183,142,1.2887323943661972,59.04929577464789,828,0,0
/archives/category/industry-and-insight,desktop,176,127,1.3858267716535433,29.46456692913386,727,0,0
/archives/113952,mobile,173,167,1.035928143712575,30.197604790419163,789,0,0
/archives/115057,mobile,171,160,1.06875,64.3375,816,0,0
/archives/114138,desktop,169,137,1.2335766423357664,63.627737226277375,788,0,0
/archives/category/business/sk-enmove,desktop,168,87,1.9310344827586208,29.482758620689655,705,0,0
/archives/category/business/sk-geo-centric,desktop,167,74,2.2567567567567566,38.810810810810814,672,0,0
/archives/49884,desktop,163,132,1.2348484848484849,59.65151515151515,786,0,0
/archives/83720,desktop,157,147,1.0680272108843538,50.82993197278912,770,0,0
/archives/category/field-news,desktop,154,127,1.2125984251968505,21.346456692913385,636,0,0
/archives/96864,desktop,152,141,1.0780141843971631,51.40425531914894,753,0,0
/archives/category/press,desktop,147,83,1.7710843373493976,34.48192771084337,562,0,0
/archives/116299,desktop,143,107,1.3364485981308412,26.514018691588785,565,0,0
/archives/category/business/sk-on,mobile,138,108,1.2777777777777777,25.50925925925926,623,0,0
/archives/114094,mobile,133,119,1.1176470588235294,70.5546218487395,610,0,0
/archives/112580,desktop,132,115,1.1478260869565218,55.87826086956522,642,0,0
/archives/10815,mobile,131,97,1.3505154639175259,26.52577319587629,547,0,0
/archives/48028,desktop,130,114,1.1403508771929824,50.973684210526315,630,0,0
/archives/83720,mobile,124,102,1.2156862745098038,32.450980392156865,551,0,0
/archives/115537,desktop,118,88,1.3409090909090908,61.60227272727273,500,0,0
/archives/103947,desktop,115,94,1.2234042553191489,41.234042553191486,535,0,0
/archives/116199,desktop,114,86,1.3255813953488371,48.825581395348834,474,0,0
/archives/111831,desktop,113,102,1.107843137254902,63,527,0,0
/archives/category/field-news/inno-people,desktop,113,84,1.3452380952380953,36.535714285714285,465,0,0
/archives/100892,desktop,112,88,1.2727272727272727,32.02272727272727,487,0,0
/archives/114153,desktop,112,81,1.382716049382716,34.95061728395062,483,0,0
/archives/98107,desktop,110,85,1.2941176470588236,80.29411764705883,526,0,0
/archives/114999,desktop,104,82,1.2682926829268293,31.024390243902438,443,0,0
/archives/115727,desktop,104,91,1.1428571428571428,40.73626373626374,465,0,0
/mergerqna1,desktop,102,80,1.275,760.0125,378,0,0
/archives/49884,mobile,101,85,1.188235294117647,45.858823529411765,450,0,0
/archives/116189,desktop,100,66,1.5151515151515151,33.5,379,0,0
/archives/category/industry-and-insight/inno-column,desktop,100,62,1.6129032258064515,19.774193548387096,394,0,0
/archives/116290,desktop,99,82,1.2073170731707317,46.5,403,0,0
/archives/114138,mobile,97,86,1.127906976744186,39.604651162790695,448,0,0
/archives/116246,desktop,95,71,1.3380281690140845,33.40845070422535,395,0,0
/archives/111978,desktop,94,79,1.1898734177215189,32.49367088607595,450,0,0
/archives/114973,mobile,94,77,1.2207792207792207,42.1948051948052,407,0,0
/archives/category/business/sk-enmove,mobile,94,42,2.238095238095238,30.166666666666668,361,0,0
/archives/114278,desktop,92,85,1.0823529411764705,30.8,454,0,0
/archives/111387,desktop,91,87,1.0459770114942528,36.88505747126437,484,0,0
/archives/110323,desktop,90,68,1.3235294117647058,57.86764705882353,406,0,0
/archives/48279,desktop,90,81,1.1111111111111112,34.333333333333336,433,0,0
/archives/83571,desktop,90,71,1.267605633802817,83.07042253521126,412,0,0
/archives/category/field-news/inno-field,desktop,89,67,1.328358208955224,22.880597014925375,349,0,0
/archives/115558,desktop,86,56,1.5357142857142858,78.89285714285714,370,0,0
/archives/8355,desktop,85,76,1.118421052631579,44.28947368421053,414,0,0
/archives/34678,desktop,83,75,1.1066666666666667,37.42666666666667,418,0,0
/archives/48028,mobile,83,25,3.32,32.6,285,0,0
/archives/116170,desktop,82,56,1.4642857142857142,41.035714285714285,309,0,0
/archives/category/business/sk-enterm,desktop,82,51,1.607843137254902,32.333333333333336,344,0,0
/archives/113680,desktop,81,66,1.2272727272727273,30.272727272727273,347,0,0
/archives/115258,desktop,80,68,1.1764705882352942,44.01470588235294,377,0,0
/archives/113159,mobile,79,69,1.144927536231884,14.753623188405797,327,0,0
/archives/115674,mobile,79,67,1.1791044776119404,57.61194029850746,330,0,0
/archives/111540,desktop,78,57,1.368421052631579,34.280701754385966,359,0,0
/archives/category/press/notice,desktop,78,62,1.2580645161290323,18.14516129032258,306,0,0
/archives/114773,desktop,77,62,1.2419354838709677,22.387096774193548,332,0,0
/archives/111929,desktop,76,63,1.2063492063492063,63.07936507936508,338,0,0
/archives/63622,desktop,76,67,1.1343283582089552,27.70149253731343,359,0,0
/archives/16295,mobile,75,68,1.1029411764705883,24.176470588235293,335,0,0
/archives/114065,desktop,71,59,1.2033898305084745,98.71186440677967,342,0,0
/archives/25903,desktop,71,59,1.2033898305084745,51.94915254237288,321,0,0
/archives/99361,desktop,71,58,1.2241379310344827,51.13793103448276,321,0,0
/archives/100667,desktop,70,63,1.1111111111111112,34.3968253968254,323,0,0
/archives/113998,desktop,68,59,1.152542372881356,33.76271186440678,301,0,0
/archives/115922,desktop,68,56,1.2142857142857142,30.321428571428573,280,0,0
/posts,mobile,66,41,1.6097560975609757,25.29268292682927,244,0,0
/archives/115837,desktop,65,45,1.4444444444444444,44.91111111111111,275,0,0
/archives/category/press/archive,desktop,65,50,1.3,24.3,262,0,0
/archives/12657,mobile,64,57,1.1228070175438596,34.771929824561404,276,0,0
/archives/45433,desktop,64,48,1.3333333333333333,59.333333333333336,282,0,0
/archives/113952,desktop,63,60,1.05,42.583333333333336,293,0,0
/archives/110055,desktop,62,48,1.2916666666666667,39.729166666666664,274,0,0
/archives/116018,mobile,62,40,1.55,23.75,228,0,0
/archives/95110,desktop,62,48,1.2916666666666667,37.583333333333336,285,0,0
/archives/107411,desktop,61,55,1.1090909090909091,73.2,296,0,0
/archives/85278,desktop,61,53,1.150943396226415,74.86792452830188,288,0,0
/archives/114999,mobile,60,55,1.0909090909090908,22.163636363636364,259,0,0
/archives/8935,desktop,60,58,1.0344827586206897,35.224137931034484,302,0,0
/archives/112956,desktop,59,48,1.2291666666666667,66.72916666666667,253,0,0
/archives/115808,desktop,59,41,1.4390243902439024,17.24390243902439,247,0,0
/archives/97077,desktop,59,53,1.1132075471698113,59.79245283018868,278,0,0
/archives/116346,mobile,58,51,1.1372549019607843,45.470588235294116,254,0,0
/archives/115057,tablet,57,39,1.4615384615384615,27,235,0,0
/archives/category/field-news/management,desktop,57,47,1.2127659574468086,15.787234042553191,226,0,0
/mergerqna2,desktop,57,54,1.0555555555555556,63.48148148148148,200,0,0
/archives/112487,desktop,56,51,1.0980392156862746,48.86274509803921,255,0,0
/archives/115727,mobile,56,50,1.12,35.22,230,0,0
/archives/115779,desktop,56,52,1.0769230769230769,57.78846153846154,236,0,0
/archives/116276,desktop,56,47,1.1914893617021276,44.59574468085106,220,0,0
/archives/21277,desktop,56,47,1.1914893617021276,43.297872340425535,249,0,0
/archives/6688,desktop,56,35,1.6,60.02857142857143,243,0,0
/archives/100892,mobile,55,52,1.0576923076923077,49.32692307692308,267,0,0
/archives/category/business/sk-incheonpetrochem,mobile,55,30,1.8333333333333333,22.033333333333335,202,0,0
/archives/103989,desktop,54,39,1.3846153846153846,48.05128205128205,223,0,0
/archives/115517,desktop,54,48,1.125,32.770833333333336,234,0,0
/archives/115664,desktop,54,46,1.173913043478261,39.08695652173913,238,0,0
/archives/115950,desktop,54,48,1.125,32.3125,221,0,0
/archives/115971,desktop,54,41,1.3170731707317074,43.53658536585366,231,0,0
/archives/110819,desktop,53,37,1.4324324324324325,73.4054054054054,228,0,0
/archives/114172,desktop,53,47,1.127659574468085,32.1063829787234,230,0,0
/archives/8482,desktop,53,49,1.0816326530612246,37.46938775510204,248,0,0
/archives/98182,desktop,53,36,1.4722222222222223,41.75,235,0,0
/archives/tag/sk경영경제연구소,desktop,53,38,1.394736842105263,8.052631578947368,248,0,0
/archives/10815,desktop,51,48,1.0625,45.520833333333336,262,0,0
/archives/category/business/sk-incheonpetrochem,desktop,51,39,1.3076923076923077,24.41025641025641,213,0,0
/archives/11700,desktop,50,45,1.1111111111111112,41.666666666666664,233,0,0
/archives/9439,mobile,50,44,1.1363636363636365,34.72727272727273,222,0,0
/archives/category/business/sk-energy,mobile,50,40,1.25,19.975,188,0,0
/mergerqna3,desktop,49,36,1.3611111111111112,11.722222222222221,163,0,0
/archives/51077,desktop,48,42,1.1428571428571428,71.54761904761905,255,0,0
/archives/8448,desktop,48,44,1.0909090909090908,76.31818181818181,241,0,0
/archives/113855,desktop,47,35,1.3428571428571427,28.142857142857142,197,0,0
/archives/115877,mobile,47,47,1,53.851063829787236,207,0,0
/archives/116007,desktop,47,38,1.236842105263158,20.63157894736842,181,0,0
/archives/116290,mobile,47,35,1.3428571428571427,95.02857142857142,201,0,0
/archives/115922,mobile,45,40,1.125,44.125,199,0,0
/archives/115954,desktop,45,41,1.0975609756097562,22.634146341463413,189,0,0
/archives/34678,mobile,45,36,1.25,20.02777777777778,195,0,0
/archives/19961,mobile,44,37,1.1891891891891893,70.43243243243244,213,0,0
/archives/76541,desktop,44,40,1.1,45.45,219,0,0
/archives/category/business/sk-innovation,mobile,44,31,1.4193548387096775,16.838709677419356,160,0,0
/mergerqna8,desktop,44,39,1.1282051282051282,13.35897435897436,152,0,0
/archives/115971,mobile,43,40,1.075,17.15,199,0,0
/archives/109888,desktop,42,32,1.3125,77.125,187,0,0
/archives/110015,desktop,42,27,1.5555555555555556,43.81481481481482,174,0,0
/archives/116323,desktop,42,27,1.5555555555555556,36.03703703703704,161,0,0
/archives/28782,mobile,42,40,1.05,64.525,200,0,0
/archives/97264,desktop,42,29,1.4482758620689655,39.13793103448276,184,0,0
/archives/tag/sk이노베이션-울산complex,desktop,42,28,1.5,13.357142857142858,180,0,0
/archives/10963,mobile,41,34,1.2058823529411764,16.647058823529413,177,0,0
/archives/114336,desktop,41,32,1.28125,51.625,177,0,0
/archives/8448,mobile,41,37,1.1081081081081081,17.89189189189189,191,0,0
/archives/8502,desktop,41,38,1.0789473684210527,34.55263157894737,195,0,0
/archives/91050,desktop,41,35,1.1714285714285715,38.371428571428574,200,0,0
/archives/98731,desktop,41,36,1.1388888888888888,126.91666666666667,182,0,0
/archives/category/business/sk-tradinginternational,desktop,41,17,2.411764705882353,25.41176470588235,168,0,0
/archives/107557,desktop,40,35,1.1428571428571428,46.74285714285714,191,0,0
/archives/111387,mobile,40,35,1.1428571428571428,14.228571428571428,175,0,0
/archives/112908,desktop,40,38,1.0526315789473684,26.63157894736842,182,0,0
/privacy-policy,desktop,40,21,1.9047619047619047,111.47619047619048,171,0,0
/archives/104002,mobile,39,30,1.3,67.1,160,0,0
/archives/113680,mobile,39,28,1.3928571428571428,38,156,0,0
/archives/25579,desktop,38,34,1.1176470588235294,94.5,176,0,0
/archives/63622,mobile,38,36,1.0555555555555556,48.361111111111114,177,0,0
/archives/8422,mobile,38,37,1.027027027027027,29.27027027027027,183,0,0
/archives/98610,desktop,38,30,1.2666666666666666,32.666666666666664,162,0,0
/archives/108755,desktop,37,29,1.2758620689655173,34.758620689655174,157,0,0
/archives/112480,desktop,37,30,1.2333333333333334,32.43333333333333,156,0,0
/archives/83065,desktop,37,34,1.088235294117647,57.35294117647059,178,0,0
/archives/111406,desktop,36,27,1.3333333333333333,28.74074074074074,159,0,0
/archives/113998,mobile,36,30,1.2,24.9,153,0,0
/archives/114208,desktop,36,23,1.565217391304348,19.869565217391305,136,0,0
/archives/114632,desktop,36,28,1.2857142857142858,30.357142857142858,165,0,0
/archives/32685,mobile,36,29,1.2413793103448276,18,153,0,0
/archives/8935,mobile,36,32,1.125,30.53125,165,0,0
/archives/category/business/sk-earthon,desktop,36,23,1.565217391304348,36.43478260869565,133,0,0
/mergerqna4,desktop,36,29,1.2413793103448276,32.62068965517241,124,0,0
/mergerqna7,desktop,36,32,1.125,23.65625,137,0,0
/archives/101143,desktop,35,27,1.2962962962962963,27.555555555555557,139,0,0
/archives/18301,mobile,35,27,1.2962962962962963,81.66666666666667,153,0,0
/archives/65154,desktop,35,28,1.25,34.464285714285715,171,0,0
/archives/105883,mobile,34,33,1.0303030303030303,45.75757575757576,162,0,0
/archives/112418,desktop,34,32,1.0625,19.1875,135,0,0
/archives/116299,mobile,34,29,1.1724137931034482,29.896551724137932,127,0,0
/archives/27825,desktop,34,32,1.0625,30.15625,181,0,0
/mergerqna5,desktop,34,31,1.096774193548387,25.451612903225808,121,0,0
/archives/10330,mobile,33,28,1.1785714285714286,33.464285714285715,146,0,0
/archives/107411,mobile,33,26,1.2692307692307692,31.423076923076923,134,0,0
/archives/114973,tablet,33,24,1.375,42.875,133,0,0
/archives/115933,desktop,33,29,1.1379310344827587,39.06896551724138,137,0,0
/archives/116364,desktop,33,27,1.2222222222222223,18.25925925925926,127,0,0
/archives/12657,desktop,33,31,1.064516129032258,53.25806451612903,167,0,0
/archives/8544,desktop,33,31,1.064516129032258,22.193548387096776,171,0,0
/archives/96339,mobile,33,27,1.2222222222222223,36.370370370370374,138,0,0
/archives/97929,desktop,33,29,1.1379310344827587,25.20689655172414,157,0,0
/archives/111540,mobile,32,25,1.28,30.24,134,0,0
/archives/112036,desktop,32,24,1.3333333333333333,46.875,127,0,0
/archives/115706,desktop,32,28,1.1428571428571428,37.392857142857146,123,0,0
/archives/8355,mobile,32,18,1.7777777777777777,58.27777777777778,126,0,0
/archives/97391,mobile,32,30,1.0666666666666667,37.36666666666667,151,0,0
/archives/category/business/sk-ietechnology,desktop,32,19,1.6842105263157894,30.157894736842106,131,0,0
/archives/107738,desktop,31,28,1.1071428571428572,35.714285714285715,149,0,0
/archives/12929,desktop,31,26,1.1923076923076923,63.19230769230769,159,0,0
/archives/15214,desktop,31,26,1.1923076923076923,58,126,0,0
/archives/23352,mobile,31,29,1.0689655172413792,22.24137931034483,141,0,0
/archives/51614,mobile,31,29,1.0689655172413792,36.206896551724135,139,0,0
/archives/84762,desktop,31,30,1.0333333333333334,43.56666666666667,139,0,0
/archives/106345,desktop,30,25,1.2,28.6,140,0,0
/archives/107925,desktop,30,20,1.5,44.2,101,0,0
/archives/112908,mobile,30,22,1.3636363636363635,17.318181818181817,119,0,0
/archives/114483,desktop,30,26,1.1538461538461537,59.42307692307692,128,0,0
/archives/116246,mobile,30,23,1.3043478260869565,27.08695652173913,116,0,0
/archives/13104,desktop,30,25,1.2,14.04,145,0,0
/archives/28782,desktop,30,30,1,77.1,160,0,0
/archives/59030,desktop,30,27,1.1111111111111112,35.925925925925924,141,0,0
/archives/76541,mobile,30,25,1.2,47.12,123,0,0
/archives/93757,desktop,30,27,1.1111111111111112,32.851851851851855,143,0,0
/archives/105770,desktop,29,26,1.1153846153846154,20.076923076923077,135,0,0
/archives/8502,mobile,29,25,1.16,27.76,126,0,0
/mergerqna6,desktop,29,25,1.16,13.12,106,0,0
/archives/100667,mobile,28,21,1.3333333333333333,73.28571428571429,120,0,0
/archives/10557,desktop,28,25,1.12,27.68,137,0,0
/archives/106701,desktop,28,18,1.5555555555555556,40.388888888888886,118,0,0
/archives/110015,mobile,28,23,1.2173913043478262,41.08695652173913,125,0,0
/archives/110144,desktop,28,27,1.037037037037037,66.55555555555556,123,0,0
/archives/114336,mobile,28,23,1.2173913043478262,40.30434782608695,123,0,0
/archives/115817,desktop,28,24,1.1666666666666667,24.125,112,0,0
/archives/18648,desktop,28,22,1.2727272727272727,81.27272727272727,137,0,0
/archives/23448,mobile,28,16,1.75,38.5625,105,0,0
/archives/70300,mobile,28,27,1.037037037037037,13.407407407407407,125,0,0
/archives/75805,desktop,28,21,1.3333333333333333,58.42857142857143,127,0,0
/archives/78785,desktop,28,26,1.0769230769230769,56.26923076923077,133,0,0
/archives/111652,desktop,27,23,1.173913043478261,57.91304347826087,116,0,0
/archives/111978,mobile,27,22,1.2272727272727273,10.5,118,0,0
/archives/115214,desktop,27,15,1.8,95.46666666666667,100,0,0
/archives/21617,mobile,27,21,1.2857142857142858,28.714285714285715,121,0,0
/archives/31846,mobile,27,10,2.7,22.7,99,0,0
/archives/32685,desktop,27,19,1.4210526315789473,40.8421052631579,130,0,0
/archives/36237,desktop,27,21,1.2857142857142858,35.19047619047619,117,0,0
/archives/45433,mobile,27,25,1.08,55.12,123,0,0
/archives/88154,desktop,27,20,1.35,40.15,118,0,0
/archives/94030,desktop,27,24,1.125,56.916666666666664,118,0,0
/archives/category/social-news,desktop,27,26,1.0384615384615385,11.692307692307692,139,0,0
/archives/4521,mobile,26,4,6.5,18,69,0,0
/archives/51614,desktop,26,20,1.3,38.15,122,0,0
/archives/59820,desktop,26,24,1.0833333333333333,19.25,128,0,0
/archives/category/field-news,mobile,26,16,1.625,24.4375,100,0,0
/archives/10963,desktop,25,20,1.25,142.7,121,0,0
/archives/111831,mobile,25,24,1.0416666666666667,25.125,115,0,0
/archives/115558,mobile,25,21,1.1904761904761905,129.47619047619048,115,0,0
/archives/13682,desktop,25,24,1.0416666666666667,80.125,125,0,0
/archives/14875,desktop,25,21,1.1904761904761905,36.476190476190474,124,0,0
/archives/25711,desktop,25,22,1.1363636363636365,33.31818181818182,125,0,0
/archives/33788,mobile,25,20,1.25,16.35,106,0,0
/archives/60291,desktop,25,18,1.3888888888888888,17.444444444444443,111,0,0
/archives/85006,mobile,25,22,1.1363636363636365,16.636363636363637,107,0,0
/archives/94030,mobile,25,24,1.0416666666666667,30.5,117,0,0
/archives/109090,desktop,24,23,1.0434782608695652,13.565217391304348,117,0,0
/archives/109118,desktop,24,19,1.263157894736842,21.473684210526315,100,0,0
/archives/114014,desktop,24,14,1.7142857142857142,91.85714285714286,105,0,0
/archives/116323,mobile,24,12,2,118.16666666666667,91,0,0
/archives/36348,desktop,24,20,1.2,43.15,123,0,0
/archives/4521,desktop,24,21,1.1428571428571428,18.80952380952381,108,0,0
/archives/81784,desktop,24,22,1.0909090909090908,49.36363636363637,115,0,0
/archives/88198,desktop,24,22,1.0909090909090908,77.54545454545455,98,0,0
/archives/94311,desktop,24,19,1.263157894736842,20.42105263157895,108,0,0
/archives/97391,desktop,24,24,1,23.041666666666668,120,0,0
/newsroom-guide,desktop,24,16,1.5,34.0625,98,0,0
/archives/103336,desktop,23,19,1.2105263157894737,97.05263157894737,108,0,0
/archives/103349,desktop,23,18,1.2777777777777777,34.666666666666664,102,0,0
/archives/103803,desktop,23,19,1.2105263157894737,32.8421052631579,106,0,0
/archives/110471,desktop,23,19,1.2105263157894737,141.05263157894737,101,0,0
/archives/114153,mobile,23,21,1.0952380952380953,55.714285714285715,97,0,0
/archives/115997,desktop,23,20,1.15,53.6,94,0,0
/archives/18301,desktop,23,23,1,55.30434782608695,134,0,0
/archives/20706,desktop,23,17,1.3529411764705883,36.23529411764706,106,0,0
/archives/24588,desktop,23,20,1.15,24.15,114,0,0
/archives/32828,tablet,23,22,1.0454545454545454,58.5,113,0,0
/archives/7348,desktop,23,18,1.2777777777777777,75.33333333333333,102,0,0
/archives/90543,desktop,23,21,1.0952380952380953,96.9047619047619,114,0,0
/archives/9782,mobile,23,22,1.0454545454545454,25.181818181818183,110,0,0
/archives/98215,desktop,23,20,1.15,31.25,105,0,0
/archives/109090,mobile,22,21,1.0476190476190477,15.523809523809524,100,0,0
/archives/114052,desktop,22,19,1.1578947368421053,50.526315789473685,88,0,0
/archives/114407,desktop,22,22,1,26.772727272727273,90,0,0
/archives/115394,desktop,22,16,1.375,45.375,95,0,0
/archives/115622,desktop,22,19,1.1578947368421053,13.789473684210526,96,0,0
/archives/48881,desktop,22,20,1.1,24.95,108,0,0
/archives/62987,desktop,22,16,1.375,33.5,94,0,0
/archives/7636,mobile,22,17,1.2941176470588236,14,98,0,0
/archives/9512,mobile,22,21,1.0476190476190477,22.61904761904762,107,0,0
/archives/98605,desktop,22,17,1.2941176470588236,74.3529411764706,112,0,0
/archives/category/business,mobile,22,10,2.2,16.4,71,0,0
/archives/category/field-news/inno-people,mobile,22,13,1.6923076923076923,48.15384615384615,80,0,0
/archives/category/press,mobile,22,17,1.2941176470588236,16.58823529411765,75,0,0
/archives/103947,mobile,21,17,1.2352941176470589,46.94117647058823,88,0,0
/archives/104187,desktop,21,19,1.105263157894737,77.6842105263158,93,0,0
/archives/104532,desktop,21,17,1.2352941176470589,30.529411764705884,90,0,0
/archives/105048,desktop,21,15,1.4,28.066666666666666,87,0,0
/archives/110323,mobile,21,18,1.1666666666666667,34.833333333333336,88,0,0
/archives/112490,mobile,21,18,1.1666666666666667,72.11111111111111,98,0,0
/archives/112776,desktop,21,19,1.105263157894737,43.36842105263158,90,0,0
/archives/113663,desktop,21,16,1.3125,86.375,99,0,0
/archives/114688,desktop,21,19,1.105263157894737,52,95,0,0
/archives/114801,desktop,21,18,1.1666666666666667,31.944444444444443,88,0,0
/archives/115020,desktop,21,17,1.2352941176470589,74.17647058823529,96,0,0
/archives/19881,desktop,21,15,1.4,35.333333333333336,94,0,0
/archives/19961,desktop,21,19,1.105263157894737,95.15789473684211,111,0,0
/archives/21617,desktop,21,20,1.05,20.35,97,0,0
/archives/33788,desktop,21,19,1.105263157894737,33.89473684210526,94,0,0
/archives/57901,desktop,21,19,1.105263157894737,23.105263157894736,100,0,0
/archives/61743,desktop,21,18,1.1666666666666667,46.05555555555556,101,0,0
/archives/89977,desktop,21,17,1.2352941176470589,63.94117647058823,104,0,0
/archives/9049,mobile,21,20,1.05,72.4,94,0,0
/archives/category/business/sk-enterm,mobile,21,18,1.1666666666666667,5.944444444444445,99,0,0
/archives/tag/열분해유,desktop,21,11,1.9090909090909092,20.09090909090909,91,0,0
/mergerqna7,mobile,21,15,1.4,15.133333333333333,63,0,0
/archives/106868,desktop,20,19,1.0526315789473684,86.89473684210526,105,0,0
/archives/108755,mobile,20,15,1.3333333333333333,32.06666666666667,85,0,0
/archives/110382,desktop,20,18,1.1111111111111112,18.77777777777778,97,0,0
/archives/110536,desktop,20,17,1.1764705882352942,10.235294117647058,90,0,0
/archives/111748,mobile,20,19,1.0526315789473684,14.736842105263158,86,0,0
/archives/114065,mobile,20,17,1.1764705882352942,41.64705882352941,86,0,0
/archives/114118,desktop,20,20,1,17.2,89,0,0
/archives/115351,desktop,20,8,2.5,21.75,79,0,0
/archives/21277,tablet,20,16,1.25,24.9375,83,0,0
/archives/22310,desktop,20,17,1.1764705882352942,73.58823529411765,97,0,0
/archives/50898,desktop,20,19,1.0526315789473684,16.68421052631579,93,0,0
/archives/84762,mobile,20,19,1.0526315789473684,55.89473684210526,88,0,0
/archives/98253,desktop,20,17,1.1764705882352942,23.764705882352942,84,0,0
/archives/category/industry-and-insight/basics,mobile,20,10,2,20.1,64,0,0
/archives/tag/sk-울산clx,desktop,20,15,1.3333333333333333,11.666666666666666,79,0,0
/,tablet,19,13,1.4615384615384615,10.384615384615385,74,0,0
/archives/104517,desktop,19,17,1.1176470588235294,22.41176470588235,90,0,0
/archives/107142,desktop,19,17,1.1176470588235294,16,89,0,0
/archives/109282,desktop,19,17,1.1176470588235294,28.11764705882353,74,0,0
/archives/111245,desktop,19,8,2.375,13.25,82,0,0
/archives/111394,desktop,19,12,1.5833333333333333,18.083333333333332,72,0,0
