# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240819
# 종료일: 20240825
페이지 경로 및 화면 클래스,세션 소스,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18546,(direct),93,103,71,1.3098591549295775,34.67605633802817,389,0,0
/global/,(direct),81,74,58,1.396551724137931,5.344827586206897,320,0,0
/global/archives/18546,google,81,91,62,1.3064516129032258,51.12903225806452,371,0,0
/global/archives/18743,(direct),77,77,76,1.013157894736842,6.526315789473684,267,0,0
/global/latestnews,(direct),66,66,64,1.03125,19.5,262,0,0
/global/,google,65,45,40,1.625,26.05,264,0,0
/global/archives/category/press-room/financial-results,google,37,20,16,2.3125,18.1875,143,0,0
/global/,linkedin.com,35,22,6,5.833333333333333,40.333333333333336,139,0,0
/global/archives/18659,google,35,34,20,1.75,6.85,121,0,0
/global/archives/18743,linkedin.com,35,35,32,1.09375,9.09375,146,0,0
/global/latestnews,google,34,34,8,4.25,14.375,100,0,0
/global/archives/15490,google,32,33,22,1.4545454545454546,12,127,0,0
/global/archives/18107,google,32,32,29,1.103448275862069,70.93103448275862,150,0,0
/global/archives/category/press-room/press-release,(direct),32,29,20,1.6,19.25,127,0,0
/global/archives/17426,google,29,30,24,1.2083333333333333,24.166666666666668,135,0,0
/global/archives/category/press-room/press-release,google,25,17,15,1.6666666666666667,33.46666666666667,100,0,0
/global/archives/18743,google,24,25,18,1.3333333333333333,36.833333333333336,90,0,0
/global/archives/6216,google,24,31,22,1.0909090909090908,43.04545454545455,121,0,0
/global/,eng.sk-on.com,21,16,12,1.75,30.583333333333332,100,0,0
/global/,skinnovation.com,19,18,16,1.1875,14.25,86,0,0
/global/archives/12022,google,19,19,18,1.0555555555555556,17.22222222222222,91,0,0
/global/archives/12306,google,19,16,11,1.7272727272727273,39,75,0,0
/global/archives/18283,(direct),19,19,19,1,1.3157894736842106,77,0,0
/global/archives/17216,google,18,19,15,1.2,38.2,86,0,0
/global/archives/18608,google,18,15,13,1.3846153846153846,26.76923076923077,77,0,0
/global/archives/9910,google,18,20,17,1.0588235294117647,54.11764705882353,95,0,0
/global/archives/category/corporates/sk-innovation,google,18,13,12,1.5,24.083333333333332,72,0,0
/global/archives/13780,google,17,20,13,1.3076923076923077,32.38461538461539,77,0,0
/global/archives/18753,ozmailer.com,17,13,8,2.125,1.75,59,0,0
/global/archives/category/corporates,google,17,12,12,1.4166666666666667,21.5,64,0,0
/global/archives/18608,(direct),16,18,16,1,21.6875,62,0,0
/global/archives/18690,google,16,15,12,1.3333333333333333,27.583333333333332,61,0,0
/global/archives/10774,google,15,16,13,1.1538461538461537,44.92307692307692,71,0,0
/global/archives/17499,google,15,15,13,1.1538461538461537,75.38461538461539,72,0,0
/global/archives/18065,google,15,15,13,1.1538461538461537,20.153846153846153,65,0,0
/global/archives/category/corporates/sk-enterm,google,15,9,7,2.142857142857143,6,60,0,0
/global/archives/18140,(direct),14,12,10,1.4,1.2,48,0,0
/global/archives/18361,(direct),14,13,13,1.0769230769230769,5.230769230769231,49,0,0
/global/archives/18753,(direct),14,14,14,1,9.5,55,0,0
/global/archives/category/press-room,google,14,8,8,1.75,8,53,0,0
/global/archives/15374,google,13,14,12,1.0833333333333333,32,58,0,0
/global/archives/16463,google,13,15,11,1.1818181818181819,23.636363636363637,64,0,0
/global/archives/17623,google,13,13,13,1,17.692307692307693,64,0,0
/global/archives/18753,google,13,14,10,1.3,13.4,53,0,0
/global/archives/15664,google,12,14,12,1,9.083333333333334,57,0,0
/global/archives/18659,(direct),12,11,10,1.2,24.4,48,0,0
/global/archives/18283,google,11,10,8,1.375,37,47,0,0
/global/archives/18708,ozmailer.com,11,7,5,2.2,6.8,39,0,0
/global/archives/4921,google,11,9,8,1.375,158.75,54,0,0
/global/archives/category/corporates/sk-on,(direct),11,6,5,2.2,23.8,41,0,0
/global/archives/category/press-room/financial-results,(direct),11,5,5,2.2,26.2,43,0,0
/global/archives/12147,google,10,10,10,1,34.6,45,0,0
/global/archives/13521,google,10,11,10,1,23.8,48,0,0
/global/archives/16376,google,10,10,8,1.25,137.875,41,0,0
/global/archives/16532,google,10,10,9,1.1111111111111112,33.666666666666664,46,0,0
/global/archives/18361,google,10,7,5,2,65.8,41,0,0
/global/archives/category/press-room/financial-results,eng.sk-on.com,10,3,2,5,25,40,0,0
/global/archives/13595,google,9,8,8,1.125,37,34,0,0
/global/archives/16060,google,9,9,5,1.8,42.6,42,0,0
/global/archives/16448,google,9,10,8,1.125,10.375,43,0,0
/global/archives/18546,linkedin.com,9,9,8,1.125,145.75,34,0,0
/global/archives/18608,chatgpt.com,9,7,6,1.5,11.333333333333334,39,0,0
/global/archives/18690,(direct),9,9,8,1.125,11,37,0,0
/global/archives/18708,(direct),9,9,9,1,11,34,0,0
/global/archives/489,google,9,8,7,1.2857142857142858,67.85714285714286,43,0,0
/global/archives/category/corporates/sk-energy,google,9,8,8,1.125,13.25,35,0,0
/global/archives/category/corporates/sk-enmove,google,9,5,4,2.25,31.75,36,0,0
/global/archives/category/corporates/sk-on,eng.sk-on.com,9,8,5,1.8,25.4,34,0,0
