# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240916
# 종료일: 20240922
페이지 경로 및 화면 클래스,국가,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19045,Vietnam,628,555,504,1.246031746031746,2.1746031746031744,2366,0,0
/global/archives/19045,Malaysia,431,340,298,1.4463087248322148,5.154362416107382,1602,0,0
/global/archives/19078,United Arab Emirates,293,256,175,1.6742857142857144,3.2114285714285713,1034,0,0
/global/latestnews,China,82,100,97,0.845360824742268,20.536082474226806,335,0,0
/global/archives/19078,Germany,58,52,44,1.3181818181818181,0.5454545454545454,212,0,0
/global/,South Korea,44,25,18,2.4444444444444446,21.61111111111111,184,0,0
/global/archives/19078,Japan,43,42,35,1.2285714285714286,44.25714285714286,202,0,0
/global/archives/19078,United States,38,39,35,1.0857142857142856,3.5714285714285716,160,0,0
/global/archives/19078,South Korea,33,27,18,1.8333333333333333,78.55555555555556,119,0,0
/pagead/aclk,Vietnam,33,10,8,4.125,0,72,0,0
/global/archives/19078,(not set),30,30,30,1,0,120,0,0
/global/,United Kingdom,28,29,27,1.037037037037037,0.8888888888888888,117,0,0
/global/archives/9910,Malaysia,27,24,23,1.173913043478261,32.65217391304348,118,0,0
/global/archives/19078,Singapore,26,25,20,1.3,19.85,114,0,0
/global/latestnews,Germany,23,23,1,23,12,65,0,0
/global/,United States,19,17,14,1.3571428571428572,30.285714285714285,79,0,0
/global/archives/18608,United States,18,18,8,2.25,258.625,81,0,0
/global/archives/category/press-room/press-release,India,17,18,10,1.7,23.7,67,0,0
/global/archives/19078,Hong Kong,16,12,6,2.6666666666666665,59.666666666666664,54,0,0
/global/archives/19078,United Kingdom,15,17,14,1.0714285714285714,38.214285714285715,73,0,0
/global/archives/18107,United States,14,16,12,1.1666666666666667,51.166666666666664,71,0,0
/global/archives/18546,India,14,20,9,1.5555555555555556,12.222222222222221,62,0,0
/global/latestnews,United States,14,15,8,1.75,12.5,55,0,0
/global/archives/19095,South Korea,13,9,6,2.1666666666666665,27.333333333333332,48,0,0
/global/archives/category/press-room/press-release,Japan,13,10,5,2.6,38.2,47,0,0
/global/archives/14766,United States,12,10,9,1.3333333333333333,85.77777777777777,55,0,0
/global/archives/16463,United States,12,11,11,1.0909090909090908,18.363636363636363,55,0,0
/global/archives/17426,United States,12,13,9,1.3333333333333333,85.55555555555556,59,0,0
/global/archives/6216,United States,12,12,10,1.2,19.5,54,0,0
