# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240715
# 종료일: 20240721
페이지 경로 및 화면 클래스,국가,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18546,United States,366,361,307,1.1921824104234529,35.127035830618894,1568,0,0
/global/archives/18546,South Korea,163,162,122,1.3360655737704918,24.237704918032787,681,0,0
/global/archives/18388,Poland,157,113,84,1.869047619047619,1.0119047619047619,509,0,0
/global/,South Korea,134,92,65,2.0615384615384613,16.323076923076922,582,0,0
/global/archives/18546,Singapore,65,68,57,1.1403508771929824,55.87719298245614,288,0,0
/global/archives/18546,United Kingdom,55,57,42,1.3095238095238095,59.904761904761905,247,0,0
/global/archives/18546,India,54,55,39,1.3846153846153846,44.46153846153846,229,0,0
/global/archives/18546,Japan,54,60,41,1.3170731707317074,62.68292682926829,237,0,0
/global/latestnews,China,51,54,54,0.9444444444444444,19.62962962962963,203,0,0
/global/,Japan,43,26,20,2.15,26,176,0,0
/global/,Hong Kong,39,25,17,2.2941176470588234,36.76470588235294,168,0,0
/global/archives/18546,Hungary,38,37,32,1.1875,43.46875,156,0,0
/global/archives/18546,Vietnam,36,36,36,1,11.25,155,0,0
/global/archives/18283,United States,35,33,26,1.3461538461538463,86.8076923076923,139,0,0
/global/,United States,34,30,27,1.2592592592592593,17.185185185185187,156,0,0
/global/,China,33,24,19,1.736842105263158,18.42105263157895,116,0,0
/global/archives/category/corporates/sk-enterm,Singapore,31,14,13,2.3846153846153846,22.153846153846153,129,0,0
/global/,Singapore,29,16,14,2.0714285714285716,21.071428571428573,119,0,0
/global/archives/category/corporates/sk-enterm,South Korea,29,27,20,1.45,9.05,136,0,0
/global/archives/category/corporates/sk-on,United States,29,24,15,1.9333333333333333,35.333333333333336,112,0,0
/global/archives/17216,United States,26,31,24,1.0833333333333333,68.79166666666667,115,0,0
/global/archives/18546,Hong Kong,26,29,20,1.3,93.35,109,0,0
/global/,United Kingdom,24,24,24,1,0.2916666666666667,98,0,0
/global/archives/18500,South Korea,24,25,18,1.3333333333333333,11.277777777777779,95,0,0
/global/archives/category/people/sustainability,South Korea,24,14,9,2.6666666666666665,25.77777777777778,94,0,0
/global/,India,23,19,13,1.7692307692307692,14.692307692307692,87,0,0
/global/archives/18546,China,23,27,15,1.5333333333333334,80.93333333333334,98,0,0
/global/archives/category/press-room/financial-results,India,23,8,5,4.6,29.2,81,0,0
/global/archives/category/press-room/financial-results,Singapore,23,13,9,2.5555555555555554,18,92,0,0
/global/archives/18140,India,22,21,6,3.6666666666666665,0.5,67,0,0
/global/archives/18500,United States,22,20,19,1.1578947368421053,5.7894736842105265,82,0,0
/global/archives/category/press-room/financial-results,Hong Kong,22,6,5,4.4,30.4,86,0,0
/global/archives/18065,Hong Kong,20,15,6,3.3333333333333335,84.33333333333333,79,0,0
/global/latestnews,Germany,20,21,2,10,11.5,54,0,0
/global/latestnews,South Korea,20,18,10,2,9.1,81,0,0
/global/archives/9910,Malaysia,19,19,16,1.1875,60.1875,86,0,0
/global/archives/17426,Hong Kong,18,16,7,2.5714285714285716,129.57142857142858,80,0,0
/global/archives/18478,South Korea,18,13,10,1.8,4.3,58,0,0
/global/archives/18546,France,18,20,18,1,31.72222222222222,83,0,0
/global/archives/18546,Indonesia,17,20,12,1.4166666666666667,107.08333333333333,77,0,0
/global/archives/18065,South Korea,16,5,4,4,211,51,0,0
/global/archives/18546,Germany,16,17,14,1.1428571428571428,9.214285714285714,67,0,0
/global/archives/category/corporates/sk-enterm,Japan,16,7,6,2.6666666666666665,16.5,64,0,0
/global/archives/category/press-room/press-release,France,16,16,15,1.0666666666666667,1.2,62,0,0
/global/archives/category/press-room/press-release,Singapore,16,15,8,2,8.25,62,0,0
/global/archives/17426,Singapore,15,11,9,1.6666666666666667,70.44444444444444,59,0,0
/global/archives/18546,Malaysia,15,17,15,1,17.2,69,0,0
/global/archives/category/press-room/press-release,India,15,17,9,1.6666666666666667,19.333333333333332,58,0,0
/global/archives/16834,United States,14,14,7,2,38,54,0,0
/global/archives/17426,South Korea,14,7,7,2,51.714285714285715,55,0,0
/global/archives/18388,United States,14,15,14,1,21.928571428571427,62,0,0
/global/archives/18388,South Korea,13,8,5,2.6,2.8,39,0,0
/global/archives/category/corporates,South Korea,13,7,7,1.8571428571428572,8.142857142857142,50,0,0
/global/archives/category/corporates/sk-on,South Korea,13,10,10,1.3,12.7,49,0,0
/global/archives/category/press-room,Singapore,13,13,6,2.1666666666666665,11.5,53,0,0
/global/archives/category/press-room/press-release,Japan,13,10,5,2.6,72.2,45,0,0
/global/archives/category/press-room/press-release,South Korea,13,11,9,1.4444444444444444,18.22222222222222,57,0,0
/global/archives/category/press-room/press-release,United States,13,9,9,1.4444444444444444,24.555555555555557,54,0,0
/global/latestnews,United States,13,12,6,2.1666666666666665,25.666666666666668,49,0,0
/global/archives/category/corporates,United States,12,12,8,1.5,8.625,38,0,0
/global/,Germany,11,6,4,2.75,149.25,53,0,0
/global/archives/13521,United States,11,12,10,1.1,12,51,0,0
/global/archives/18361,United States,11,11,11,1,37.27272727272727,45,0,0
/global/archives/18546,Netherlands,11,11,11,1,12.272727272727273,49,0,0
/global/archives/18546,Spain,11,12,9,1.2222222222222223,63.333333333333336,49,0,0
/global/archives/category/corporates/sk-innovation,South Korea,11,12,10,1.1,5.2,37,0,0
/global/latestnews,Singapore,11,9,8,1.375,38.875,45,0,0
/global/,Taiwan,10,5,4,2.5,22.75,44,0,0
/global/archives/17426,United States,10,9,7,1.4285714285714286,14.857142857142858,48,0,0
/global/archives/17595,South Korea,10,8,7,1.4285714285714286,19,40,0,0
/global/archives/18436,South Korea,10,10,6,1.6666666666666667,10.5,37,0,0
/global/archives/18478,United States,10,8,8,1.25,9.375,38,0,0
/global/archives/6216,South Korea,10,12,8,1.25,67.875,52,0,0
/global/archives/category/corporates/sk-enterm,United States,10,7,5,2,10.2,42,0,0
/global/archives/category/people/ceo-leaders,United States,10,7,3,3.3333333333333335,54,41,0,0
/global/archives/category/press-room/financial-results,Japan,10,4,3,3.3333333333333335,36.333333333333336,37,0,0
/global/,Poland,9,9,1,9,0,28,0,0
/global/,Vietnam,9,4,4,2.25,49.5,39,0,0
/global/archives/16463,United States,9,9,9,1,21.11111111111111,43,0,0
/global/archives/16532,Vietnam,9,10,3,3,53.333333333333336,34,0,0
/global/archives/18065,Singapore,9,9,5,1.8,65.2,30,0,0
/global/archives/18283,South Korea,9,9,8,1.125,8.5,35,0,0
/global/archives/6216,United States,9,9,9,1,22.333333333333332,44,0,0
