# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241014
# 종료일: 20241020
페이지 경로 및 화면 클래스,국가,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19179,Chile,232,193,149,1.5570469798657718,4.97986577181208,862,0,0
/global/archives/19179,United States,149,146,143,1.0419580419580419,2.0489510489510487,550,0,0
/global/latestnews,China,82,91,91,0.9010989010989011,20.483516483516482,322,0,0
/global/,South Korea,55,41,21,2.619047619047619,8.952380952380953,954,0,0
/pagead/aclk,United States,39,31,31,1.2580645161290323,0,134,0,0
/global/,United Kingdom,29,29,28,1.0357142857142858,10.357142857142858,136,0,0
/global/archives/18546,Singapore,22,26,14,1.5714285714285714,36.214285714285715,87,0,0
/global/archives/19078,South Korea,22,16,13,1.6923076923076923,21.846153846153847,86,0,0
/global/latestnews,Germany,22,22,1,22,8,57,0,0
/global/archives/19230,South Korea,21,17,10,2.1,6.7,77,0,0
/global/archives/19179,South Korea,20,15,9,2.2222222222222223,22,67,0,0
/global/archives/19179,Netherlands,19,19,19,1,0,70,0,0
/global/,Singapore,18,19,15,1.2,20.866666666666667,76,0,0
/global/,United States,18,17,16,1.125,21.375,92,0,0
/global/archives/19045,Malaysia,18,20,12,1.5,46.833333333333336,76,0,0
/global/archives/19179,Canada,15,15,15,1,0.13333333333333333,52,0,0
/global/archives/19179,Ireland,15,15,15,1,0,59,0,0
/global/archives/4921,United States,15,14,13,1.1538461538461537,28,65,0,0
/global/,Germany,14,7,6,2.3333333333333335,37,60,0,0
/global/archives/18107,United States,14,12,12,1.1666666666666667,71.41666666666667,56,0,0
/global/archives/category/press-room/financial-results,Singapore,14,5,5,2.8,20.4,53,0,0
/global/archives/category/press-room/press-release,United States,14,5,5,2.8,36.4,56,0,0
/global/archives/19045,Singapore,13,16,11,1.1818181818181819,70.63636363636364,60,0,0
/global/archives/19179,France,13,13,13,1,0.15384615384615385,53,0,0
/global/archives/15490,Canada,12,12,10,1.2,57.4,53,0,0
/global/archives/17426,India,12,7,6,2,46.333333333333336,47,0,0
/global/archives/17426,Singapore,12,11,9,1.3333333333333333,9,49,0,0
/global/archives/17426,United States,12,8,8,1.5,87.625,53,0,0
/global/archives/18546,United States,12,13,12,1,16.916666666666668,51,0,0
/global/archives/10774,South Korea,11,11,10,1.1,38.6,53,0,0
/global/archives/19078,Singapore,11,8,7,1.5714285714285714,56.857142857142854,44,0,0
/global/archives/7445,Poland,11,2,2,5.5,53.5,44,0,0
/global/archives/9910,Malaysia,11,11,9,1.2222222222222223,18.333333333333332,48,0,0
/global/archives/category/press-room/financial-results,India,11,5,4,2.75,31.25,43,0,0
/global/,Japan,10,6,6,1.6666666666666667,11.5,52,0,0
/global/archives/15865,France,10,7,2,5,64,33,0,0
