# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241014
# 종료일: 20241020
페이지 경로 및 화면 클래스,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/19179,502,456,396,1.2676767676767677,3.888888888888889,1858,0,0
/global/,188,158,123,1.5284552845528456,15.08130081300813,1565,0,0
/global/latestnews,132,145,106,1.2452830188679245,19.21698113207547,491,0,0
/global/archives/18546,81,94,65,1.2461538461538462,54,351,0,0
/global/archives/19078,73,66,52,1.4038461538461537,37.53846153846154,298,0,0
/global/archives/17426,67,51,38,1.763157894736842,70.94736842105263,277,0,0
/global/archives/category/press-room/financial-results,64,38,33,1.9393939393939394,36.39393939393939,248,0,0
/global/archives/19230,62,51,40,1.55,18.525,245,0,0
/global/archives/category/press-room/press-release,53,42,30,1.7666666666666666,42.733333333333334,200,0,0
/global/archives/19045,50,56,38,1.3157894736842106,41.68421052631579,213,0,0
/global/archives/18107,40,40,34,1.1764705882352942,87.70588235294117,180,0,0
/pagead/aclk,39,31,31,1.2580645161290323,0,134,0,0
/global/archives/category/press-room,33,28,21,1.5714285714285714,17.238095238095237,121,0,0
/global/archives/18770,28,24,18,1.5555555555555556,43.166666666666664,110,0,0
/global/archives/category/corporates,28,15,13,2.1538461538461537,35.07692307692308,113,0,0
/global/archives/15490,23,24,20,1.15,38.15,105,0,0
/global/archives/18608,23,24,19,1.2105263157894737,30.42105263157895,104,0,0
/global/archives/6216,23,25,19,1.2105263157894737,86.36842105263158,112,0,0
/global/archives/16376,22,23,13,1.6923076923076923,20.846153846153847,86,0,0
/global/archives/category/corporates/sk-on,22,18,17,1.2941176470588236,33.05882352941177,80,0,0
/global/archives/15374,21,25,17,1.2352941176470589,68,91,0,0
/global/archives/10774,20,21,18,1.1111111111111112,37.55555555555556,99,0,0
/global/archives/15664,20,15,12,1.6666666666666667,96.66666666666667,79,0,0
/global/archives/17595,20,20,15,1.3333333333333333,29.666666666666668,82,0,0
/global/archives/9910,20,23,17,1.1764705882352942,16.352941176470587,83,0,0
/global/archives/18445,19,20,15,1.2666666666666666,114.8,95,0,0
/global/archives/19149,19,19,16,1.1875,37,69,0,0
/global/archives/4612,19,12,9,2.111111111111111,25.88888888888889,79,0,0
/global/archives/17623,18,19,17,1.0588235294117647,85.29411764705883,85,0,0
/global/archives/7445,17,7,7,2.4285714285714284,20.285714285714285,68,0,0
/global/archives/category/people,17,18,14,1.2142857142857142,17.428571428571427,71,0,0
/global/archives/13780,16,17,13,1.2307692307692308,45.61538461538461,75,0,0
/global/archives/4921,16,15,14,1.1428571428571428,29.642857142857142,70,0,0
/global/archives/15865,15,11,4,3.75,50.75,50,0,0
/global/archives/18388,15,15,10,1.5,10.7,57,0,0
/global/archives/category/corporates/sk-innovation,15,14,14,1.0714285714285714,12,59,0,0
/global/archives/17216,14,13,12,1.1666666666666667,78.66666666666667,58,0,0
/global/archives/17499,14,15,14,1,46.42857142857143,66,0,0
/global/archives/14491,13,14,11,1.1818181818181819,49.27272727272727,60,0,0
/global/archives/15687,13,11,10,1.3,33.8,57,0,0
/global/archives/16493,13,13,13,1,17,56,0,0
/global/archives/17356,13,15,11,1.1818181818181819,33.63636363636363,55,0,0
/global/archives/17737,13,14,11,1.1818181818181819,17.363636363636363,59,0,0
/global/archives/19154,13,12,12,1.0833333333333333,16.416666666666668,55,0,0
/global/archives/3820,13,14,9,1.4444444444444444,20.22222222222222,54,0,0
/global/archives/category/corporates/sk-enmove,13,11,9,1.4444444444444444,11.555555555555555,45,0,0
/global/archives/tag/sko,13,12,10,1.3,15,65,0,0
/global/archives/11087,12,13,11,1.0909090909090908,23.727272727272727,59,0,0
/global/archives/12950,12,16,14,0.8571428571428571,12.142857142857142,45,0,0
/global/archives/15985,12,11,10,1.2,13.9,52,0,0
/global/archives/16463,12,12,11,1.0909090909090908,30.181818181818183,55,0,0
/global/archives/17446,12,12,12,1,20.5,46,0,0
/global/archives/18283,12,10,8,1.5,31.625,49,0,0
/global/archives/14634,11,11,8,1.375,74.5,51,0,0
/global/archives/18659,11,11,9,1.2222222222222223,112,46,0,0
/global/archives/19202,11,11,10,1.1,53.7,43,0,0
/global/archives/489,11,10,9,1.2222222222222223,13.11111111111111,47,0,0
/global/archives/6253,11,10,7,1.5714285714285714,64,45,0,0
/global/archives/6807,11,10,8,1.375,9.125,48,0,0
/global/archives/category/corporates/sk-geo-centric,11,12,9,1.2222222222222223,36.77777777777778,44,0,0
/global/archives/category/insight,11,10,10,1.1,14.3,42,0,0
/global/archives/12022,10,9,9,1.1111111111111112,18.333333333333332,43,0,0
/global/archives/12106,10,11,7,1.4285714285714286,17,42,0,0
/global/archives/13130,10,7,5,2,0,35,0,0
/global/archives/18301,10,10,10,1,56.5,44,0,0
/global/archives/9740,10,10,10,1,37.4,43,0,0
/global/archives/10939,9,10,8,1.125,17.875,38,0,0
/global/archives/11004,9,7,6,1.5,15.666666666666666,37,0,0
/global/archives/11807,9,10,7,1.2857142857142858,33.285714285714285,45,0,0
/global/archives/17047,9,7,6,1.5,95,42,0,0
/global/archives/18022,9,9,8,1.125,35.25,43,0,0
/global/archives/18436,9,12,10,0.9,9.5,45,0,0
