# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240805
# 종료일: 20240811
페이지 경로 및 화면 클래스,세션 소스,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/18659,google,1571,1171,1097,1.432087511394713,5.2087511394712855,5947,0,0
/global/archives/18546,(direct),129,125,82,1.5731707317073171,17.426829268292682,469,0,0
/global/,google,108,72,58,1.8620689655172413,26.362068965517242,434,0,0
/global/,(direct),101,73,63,1.6031746031746033,13,420,0,0
/global/archives/category/press-room/press-release,(direct),80,79,64,1.25,3.171875,315,0,0
/global/archives/18546,google,79,84,57,1.3859649122807018,53.421052631578945,357,0,0
/global/archives/18659,(direct),78,63,61,1.278688524590164,6.557377049180328,286,0,0
/global/latestnews,(direct),68,68,59,1.152542372881356,17.11864406779661,262,0,0
/global/archives/category/press-room/financial-results,google,54,35,28,1.9285714285714286,22.714285714285715,212,0,0
/global/archives/18608,google,51,40,29,1.7586206896551724,80.93103448275862,204,0,0
/global/latestnews,google,38,30,8,4.75,18.25,121,0,0
/global/archives/18608,(direct),33,32,26,1.2692307692307692,10.692307692307692,124,0,0
/global/archives/17426,google,32,32,22,1.4545454545454546,35.13636363636363,141,0,0
/global/,skinnovation.com,31,29,16,1.9375,43.8125,128,0,0
/global/archives/17216,google,29,28,24,1.2083333333333333,29.375,124,0,0
/global/archives/9910,google,28,27,25,1.12,82.48,139,0,0
/global/archives/18107,google,24,22,21,1.1428571428571428,104.66666666666667,112,0,0
/global/archives/tag/sko,google,24,24,22,1.0909090909090908,3.6363636363636362,107,0,0
/global/archives/category/press-room/financial-results,bing,23,10,7,3.2857142857142856,34.285714285714285,81,0,0
/global/archives/6216,google,22,23,20,1.1,42.05,101,0,0
/global/archives/category/corporates/sk-innovation,google,20,16,16,1.25,16.8125,76,0,0
/global/archives/category/corporates/sk-on,google,20,15,14,1.4285714285714286,29.928571428571427,84,0,0
