# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241001
# 종료일: 20241031
페이지 경로 및 화면 클래스,국가,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/global/archives/19179,Chile,2030,1623,1406,1.4438122332859176,5.467994310099574,7992,0,0
/global/archives/19268,Mexico,1973,1567,1323,1.491307634164777,2.7324263038548753,7005,0,0
/pagead/aclk,United States,397,290,287,1.3832752613240418,0,1295,0,0
/global/latestnews,China,384,440,439,0.8747152619589977,19.917995444191344,1533,0,0
/global/,South Korea,332,216,116,2.8620689655172415,43.85344827586207,3670,0,0
/global/archives/19179,United States,326,313,297,1.0976430976430978,5.7912457912457915,1244,0,0
/global/archives/19268,United States,151,138,126,1.1984126984126984,13.365079365079366,576,0,0
/global/,United Kingdom,127,124,122,1.040983606557377,4.19672131147541,606,0,0
/global/archives/19078,United Arab Emirates,106,84,14,7.571428571428571,0.5714285714285714,307,0,0
/global/,United States,97,85,79,1.2278481012658229,15.91139240506329,672,0,0
/global/archives/19393,South Korea,94,89,78,1.205128205128205,17.576923076923077,365,0,0
/global/latestnews,Germany,94,93,2,47,38,254,0,0
/global/archives/19179,South Korea,79,62,40,1.975,42.225,283,0,0
/global/archives/19045,Malaysia,77,81,58,1.3275862068965518,72.70689655172414,322,0,0
/global/,Japan,73,43,35,2.085714285714286,23.771428571428572,394,0,0
/global/archives/19393,United States,72,75,71,1.0140845070422535,19.535211267605632,307,0,0
/global/archives/19078,South Korea,71,55,42,1.6904761904761905,22.976190476190474,278,0,0
/global/latestnews,South Korea,65,49,9,7.222222222222222,58.666666666666664,262,0,0
/global/archives/9910,Malaysia,60,63,48,1.25,72.64583333333333,266,0,0
/global/archives/4921,United States,57,51,48,1.1875,27.020833333333332,258,0,0
